Quarter,Year,Quarter_single,HBName,AdmissionType,SIMD,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay
2019Q3,2019,Q3,NHS Lanarkshire,Elective Inpatients,3,308,497,1.613636364,320,833,2.603125
2019Q4,2019,Q4,NHS Lanarkshire,Elective Inpatients,3,370,567,1.532432432,382,947,2.479057592
2020Q1,2020,Q1,NHS Lanarkshire,Elective Inpatients,3,273,465,1.703296703,276,757,2.742753623
2020Q2,2020,Q2,NHS Lanarkshire,Elective Inpatients,3,54,79,1.462962963,55,270,4.909090909
2020Q3,2020,Q3,NHS Lanarkshire,Elective Inpatients,3,122,268,2.196721311,126,428,3.396825397
2020Q4,2020,Q4,NHS Lanarkshire,Elective Inpatients,3,137,297,2.167883212,146,466,3.191780822
2021Q1,2021,Q1,NHS Lanarkshire,Elective Inpatients,3,113,205,1.814159292,117,316,2.700854701
2021Q2,2021,Q2,NHS Lanarkshire,Elective Inpatients,3,205,368,1.795121951,208,605,2.908653846
2021Q3,2021,Q3,NHS Lanarkshire,Elective Inpatients,3,173,266,1.537572254,174,389,2.235632184
2021Q4,2021,Q4,NHS Lanarkshire,Elective Inpatients,3,118,180,1.525423729,125,287,2.296
2022Q1,2022,Q1,NHS Lanarkshire,Elective Inpatients,3,151,223,1.476821192,154,437,2.837662338
2022Q2,2022,Q2,NHS Lanarkshire,Elective Inpatients,3,196,419,2.137755102,195,739,3.78974359
2022Q3,2022,Q3,NHS Lanarkshire,Elective Inpatients,3,252,449,1.781746032,253,825,3.260869565
2022Q4,2022,Q4,NHS Lanarkshire,Elective Inpatients,3,240,416,1.733333333,249,937,3.763052209
2017Q4,2017,Q4,NHS Lanarkshire,Elective Inpatients,4,283,534,1.886925795,290,729,2.513793103
2018Q1,2018,Q1,NHS Lanarkshire,Elective Inpatients,4,279,522,1.870967742,279,742,2.659498208
2018Q2,2018,Q2,NHS Lanarkshire,Elective Inpatients,4,305,574,1.881967213,315,763,2.422222222
2018Q3,2018,Q3,NHS Lanarkshire,Elective Inpatients,4,297,601,2.023569024,306,942,3.078431373
2018Q4,2018,Q4,NHS Lanarkshire,Elective Inpatients,4,310,602,1.941935484,317,825,2.602523659
2019Q1,2019,Q1,NHS Lanarkshire,Elective Inpatients,4,284,526,1.852112676,290,770,2.655172414
2019Q2,2019,Q2,NHS Lanarkshire,Elective Inpatients,4,328,653,1.990853659,329,1039,3.158054711
2019Q3,2019,Q3,NHS Lanarkshire,Elective Inpatients,4,269,595,2.211895911,276,868,3.144927536
2019Q4,2019,Q4,NHS Lanarkshire,Elective Inpatients,4,299,644,2.153846154,306,1005,3.284313725
2020Q1,2020,Q1,NHS Lanarkshire,Elective Inpatients,4,266,466,1.751879699,273,810,2.967032967
2020Q2,2020,Q2,NHS Lanarkshire,Elective Inpatients,4,48,76,1.583333333,47,233,4.957446809
2020Q3,2020,Q3,NHS Lanarkshire,Elective Inpatients,4,102,181,1.774509804,103,323,3.13592233
2020Q4,2020,Q4,NHS Lanarkshire,Elective Inpatients,4,107,133,1.242990654,108,316,2.925925926
2021Q1,2021,Q1,NHS Lanarkshire,Elective Inpatients,4,88,144,1.636363636,89,227,2.550561798
2021Q2,2021,Q2,NHS Lanarkshire,Elective Inpatients,4,170,256,1.505882353,176,512,2.909090909
2021Q3,2021,Q3,NHS Lanarkshire,Elective Inpatients,4,156,238,1.525641026,161,299,1.857142857
2021Q4,2021,Q4,NHS Lanarkshire,Elective Inpatients,4,126,274,2.174603175,129,371,2.875968992
2022Q1,2022,Q1,NHS Lanarkshire,Elective Inpatients,4,115,178,1.547826087,117,354,3.025641026
2022Q2,2022,Q2,NHS Lanarkshire,Elective Inpatients,4,194,280,1.443298969,198,655,3.308080808
2022Q3,2022,Q3,NHS Lanarkshire,Elective Inpatients,4,216,333,1.541666667,223,740,3.31838565
2022Q4,2022,Q4,NHS Lanarkshire,Elective Inpatients,4,207,386,1.8647343,207,494,2.38647343
2017Q4,2017,Q4,NHS Lanarkshire,Elective Inpatients,5,204,422,2.068627451,217,768,3.539170507
2018Q1,2018,Q1,NHS Lanarkshire,Elective Inpatients,5,215,501,2.330232558,222,691,3.112612613
2018Q2,2018,Q2,NHS Lanarkshire,Elective Inpatients,5,223,413,1.852017937,232,602,2.594827586
2018Q3,2018,Q3,NHS Lanarkshire,Elective Inpatients,5,202,446,2.207920792,210,706,3.361904762
2018Q4,2018,Q4,NHS Lanarkshire,Elective Inpatients,5,206,403,1.95631068,214,602,2.813084112
2019Q1,2019,Q1,NHS Lanarkshire,Elective Inpatients,5,192,339,1.765625,198,484,2.444444444
2019Q2,2019,Q2,NHS Lanarkshire,Elective Inpatients,5,170,265,1.558823529,173,429,2.479768786
2019Q3,2019,Q3,NHS Lanarkshire,Elective Inpatients,5,192,369,1.921875,189,470,2.486772487
2019Q4,2019,Q4,NHS Lanarkshire,Elective Inpatients,5,206,289,1.402912621,212,692,3.264150943
2020Q1,2020,Q1,NHS Lanarkshire,Elective Inpatients,5,150,254,1.693333333,156,502,3.217948718
2020Q2,2020,Q2,NHS Lanarkshire,Elective Inpatients,5,23,82,3.565217391,25,87,3.48
2020Q3,2020,Q3,NHS Lanarkshire,Elective Inpatients,5,55,112,2.036363636,56,170,3.035714286
2020Q4,2020,Q4,NHS Lanarkshire,Elective Inpatients,5,70,83,1.185714286,73,122,1.671232877
2021Q1,2021,Q1,NHS Lanarkshire,Elective Inpatients,5,72,108,1.5,75,212,2.826666667
2021Q2,2021,Q2,NHS Lanarkshire,Elective Inpatients,5,148,253,1.709459459,148,425,2.871621622
2021Q3,2021,Q3,NHS Lanarkshire,Elective Inpatients,5,117,202,1.726495726,119,322,2.705882353
2021Q4,2021,Q4,NHS Lanarkshire,Elective Inpatients,5,90,137,1.522222222,96,295,3.072916667
2022Q1,2022,Q1,NHS Lanarkshire,Elective Inpatients,5,81,125,1.543209877,86,192,2.23255814
2022Q2,2022,Q2,NHS Lanarkshire,Elective Inpatients,5,135,243,1.8,134,305,2.276119403
2022Q3,2022,Q3,NHS Lanarkshire,Elective Inpatients,5,186,293,1.575268817,186,531,2.85483871
2022Q4,2022,Q4,NHS Lanarkshire,Elective Inpatients,5,166,293,1.765060241,173,657,3.797687861
2018Q1,2018,Q1,NHS Lanarkshire,Elective Inpatients,NA,0,0,NA,0,0,NA
2018Q2,2018,Q2,NHS Lanarkshire,Elective Inpatients,NA,0,0,NA,0,0,NA
2018Q3,2018,Q3,NHS Lanarkshire,Elective Inpatients,NA,0,0,NA,0,0,NA
2019Q1,2019,Q1,NHS Lanarkshire,Elective Inpatients,NA,0,0,NA,0,0,NA
2019Q2,2019,Q2,NHS Lanarkshire,Elective Inpatients,NA,0,0,NA,0,5,NA
2020Q1,2020,Q1,NHS Lanarkshire,Elective Inpatients,NA,0,5,NA,0,15,NA
2022Q1,2022,Q1,NHS Lanarkshire,Elective Inpatients,NA,0,0,NA,0,5,NA
2022Q3,2022,Q3,NHS Lanarkshire,Elective Inpatients,NA,0,5,NA,0,5,NA
2017Q4,2017,Q4,NHS Lothian,Elective Inpatients,1,910,2399,2.636263736,901,3460,3.84017758
2018Q1,2018,Q1,NHS Lothian,Elective Inpatients,1,798,2023,2.535087719,789,3929,4.979721166
2018Q2,2018,Q2,NHS Lothian,Elective Inpatients,1,941,2233,2.373007439,937,3663,3.909284952
2018Q3,2018,Q3,NHS Lothian,Elective Inpatients,1,834,1913,2.293764988,837,3352,4.004778973
2018Q4,2018,Q4,NHS Lothian,Elective Inpatients,1,842,2442,2.90023753,832,3880,4.663461538
2019Q1,2019,Q1,NHS Lothian,Elective Inpatients,1,836,1852,2.2153110050000002,825,3051,3.698181818
2019Q2,2019,Q2,NHS Lothian,Elective Inpatients,1,868,2176,2.506912442,862,3336,3.870069606
2019Q3,2019,Q3,NHS Lothian,Elective Inpatients,1,827,2125,2.569528416,820,3132,3.819512195
2019Q4,2019,Q4,NHS Lothian,Elective Inpatients,1,800,2017,2.52125,788,3007,3.815989848
2020Q1,2020,Q1,NHS Lothian,Elective Inpatients,1,710,1726,2.430985915,710,2977,4.192957746
2020Q2,2020,Q2,NHS Lothian,Elective Inpatients,1,288,731,2.538194444,289,1488,5.148788927
2020Q3,2020,Q3,NHS Lothian,Elective Inpatients,1,471,1378,2.925690021,468,2533,5.412393162
2020Q4,2020,Q4,NHS Lothian,Elective Inpatients,1,584,1251,2.142123288,590,2632,4.461016949
2021Q1,2021,Q1,NHS Lothian,Elective Inpatients,1,564,1449,2.569148936,550,2453,4.46
2021Q2,2021,Q2,NHS Lothian,Elective Inpatients,1,622,1773,2.850482315,623,2995,4.807383628
2021Q3,2021,Q3,NHS Lothian,Elective Inpatients,1,484,1423,2.940082645,482,2537,5.263485477
2021Q4,2021,Q4,NHS Lothian,Elective Inpatients,1,474,1158,2.443037975,480,2316,4.825
2022Q1,2022,Q1,NHS Lothian,Elective Inpatients,1,506,1275,2.519762846,504,2305,4.573412698
2022Q2,2022,Q2,NHS Lothian,Elective Inpatients,1,523,1253,2.395793499,516,2216,4.294573643
2022Q3,2022,Q3,NHS Lothian,Elective Inpatients,1,502,2024,4.03187251,506,3181,6.286561265
2022Q4,2022,Q4,NHS Lothian,Elective Inpatients,1,560,1254,2.239285714,563,2241,3.980461812
2017Q4,2017,Q4,NHS Lothian,Elective Inpatients,2,1456,4158,2.855769231,1447,6614,4.570836213
2018Q1,2018,Q1,NHS Lothian,Elective Inpatients,2,1281,3263,2.547228728,1268,5446,4.294952681
2018Q2,2018,Q2,NHS Lothian,Elective Inpatients,2,1437,3471,2.415448852,1416,5293,3.73799435
2018Q3,2018,Q3,NHS Lothian,Elective Inpatients,2,1455,3577,2.458419244,1457,6456,4.431022649
2018Q4,2018,Q4,NHS Lothian,Elective Inpatients,2,1372,3554,2.590379009,1367,6393,4.676664228
2019Q1,2019,Q1,NHS Lothian,Elective Inpatients,2,1334,4167,3.123688156,1317,6536,4.962794229
2019Q2,2019,Q2,NHS Lothian,Elective Inpatients,2,1361,3360,2.468772961,1336,5070,3.79491018
2019Q3,2019,Q3,NHS Lothian,Elective Inpatients,2,1381,3507,2.539464156,1383,6371,4.606652205
2019Q4,2019,Q4,NHS Lothian,Elective Inpatients,2,1267,3293,2.599052881,1254,5401,4.307017544
2020Q1,2020,Q1,NHS Lothian,Elective Inpatients,2,1124,3016,2.683274021,1128,5355,4.747340426
2020Q2,2020,Q2,NHS Lothian,Elective Inpatients,2,471,1209,2.566878981,483,2333,4.830227743
2020Q3,2020,Q3,NHS Lothian,Elective Inpatients,2,868,2485,2.862903226,863,4091,4.740440324
2020Q4,2020,Q4,NHS Lothian,Elective Inpatients,2,940,2580,2.744680851,931,3919,4.209452202
2021Q1,2021,Q1,NHS Lothian,Elective Inpatients,2,926,2490,2.688984881,915,4099,4.479781421
2021Q2,2021,Q2,NHS Lothian,Elective Inpatients,2,1036,2877,2.777027027,1023,4829,4.720430108
2021Q3,2021,Q3,NHS Lothian,Elective Inpatients,2,894,2535,2.83557047,891,4095,4.595959596
2021Q4,2021,Q4,NHS Lothian,Elective Inpatients,2,765,2240,2.928104575,778,4564,5.866323907
2022Q1,2022,Q1,NHS Lothian,Elective Inpatients,2,771,1732,2.246433204,758,3223,4.251978892
2022Q2,2022,Q2,NHS Lothian,Elective Inpatients,2,855,2171,2.539181287,850,4291,5.048235294
2022Q3,2022,Q3,NHS Lothian,Elective Inpatients,2,917,2385,2.60087241,924,4516,4.887445887
2022Q4,2022,Q4,NHS Lothian,Elective Inpatients,2,922,2230,2.418655098,934,4407,4.718415418
2017Q4,2017,Q4,NHS Lothian,Elective Inpatients,3,1226,3091,2.521207178,1221,5193,4.253071253
2018Q1,2018,Q1,NHS Lothian,Elective Inpatients,3,1158,2561,2.211571675,1151,4605,4.00086881
2018Q2,2018,Q2,NHS Lothian,Elective Inpatients,3,1226,3159,2.576672104,1211,4343,3.58629232
2018Q3,2018,Q3,NHS Lothian,Elective Inpatients,3,1196,3243,2.711538462,1180,4949,4.194067797
2018Q4,2018,Q4,NHS Lothian,Elective Inpatients,3,1205,2697,2.238174274,1217,4871,4.002465078
2019Q1,2019,Q1,NHS Lothian,Elective Inpatients,3,1148,3239,2.821428571,1145,4823,4.212227074
2019Q2,2019,Q2,NHS Lothian,Elective Inpatients,3,1186,3462,2.919055649,1163,5454,4.689595873
2019Q3,2019,Q3,NHS Lothian,Elective Inpatients,3,1156,3216,2.78200692,1157,5205,4.498703544
2019Q4,2019,Q4,NHS Lothian,Elective Inpatients,3,1158,3110,2.68566494,1152,5149,4.469618056
2020Q1,2020,Q1,NHS Lothian,Elective Inpatients,3,956,2146,2.244769874,956,3996,4.179916318
2020Q2,2020,Q2,NHS Lothian,Elective Inpatients,3,428,1149,2.684579439,434,2263,5.214285714
2020Q3,2020,Q3,NHS Lothian,Elective Inpatients,3,761,1916,2.517739816,757,3603,4.759577279
2020Q4,2020,Q4,NHS Lothian,Elective Inpatients,3,807,2169,2.687732342,817,4179,5.11505508
2021Q1,2021,Q1,NHS Lothian,Elective Inpatients,3,795,1899,2.388679245,789,3658,4.636248416
2021Q2,2021,Q2,NHS Lothian,Elective Inpatients,3,892,2261,2.534753363,884,3841,4.345022624
2021Q3,2021,Q3,NHS Lothian,Elective Inpatients,3,790,2166,2.741772152,803,3842,4.784557908
2021Q4,2021,Q4,NHS Lothian,Elective Inpatients,3,718,1913,2.664345404,718,3390,4.721448468
2022Q1,2022,Q1,NHS Lothian,Elective Inpatients,3,731,1705,2.332421341,720,3024,4.2
2022Q2,2022,Q2,NHS Lothian,Elective Inpatients,3,709,1900,2.679830748,708,3459,4.88559322
2022Q3,2022,Q3,NHS Lothian,Elective Inpatients,3,765,2435,3.183006536,772,4562,5.909326425
2022Q4,2022,Q4,NHS Lothian,Elective Inpatients,3,794,1933,2.434508816,793,3597,4.53593947
2017Q4,2017,Q4,NHS Lothian,Elective Inpatients,4,1175,3139,2.671489362,1165,4888,4.195708155
2018Q1,2018,Q1,NHS Lothian,Elective Inpatients,4,1041,2645,2.540826129,1036,5493,5.302123552
2018Q2,2018,Q2,NHS Lothian,Elective Inpatients,4,1173,3259,2.778346121,1167,5147,4.410454156
2018Q3,2018,Q3,NHS Lothian,Elective Inpatients,4,1171,2767,2.36293766,1170,5006,4.278632479
2018Q4,2018,Q4,NHS Lothian,Elective Inpatients,4,1139,2978,2.614574188,1135,5492,4.83876652
2019Q1,2019,Q1,NHS Lothian,Elective Inpatients,4,1026,2397,2.33625731,1018,4045,3.973477407
2019Q2,2019,Q2,NHS Lothian,Elective Inpatients,4,1090,2637,2.419266055,1085,4723,4.352995392
2019Q3,2019,Q3,NHS Lothian,Elective Inpatients,4,1020,2827,2.771568627,1023,4866,4.75659824
2019Q4,2019,Q4,NHS Lothian,Elective Inpatients,4,1049,2648,2.524308866,1032,4180,4.050387597
2020Q1,2020,Q1,NHS Lothian,Elective Inpatients,4,948,2682,2.829113924,950,4442,4.675789474
2020Q2,2020,Q2,NHS Lothian,Elective Inpatients,4,401,1140,2.842892768,410,2419,5.9
2020Q3,2020,Q3,NHS Lothian,Elective Inpatients,4,714,1632,2.285714286,703,3042,4.327169275
2020Q4,2020,Q4,NHS Lothian,Elective Inpatients,4,826,2096,2.537530266,834,3373,4.044364508
2021Q1,2021,Q1,NHS Lothian,Elective Inpatients,4,726,1969,2.712121212,722,3484,4.825484765
2021Q2,2021,Q2,NHS Lothian,Elective Inpatients,4,921,2349,2.550488599,910,3619,3.976923077
2021Q3,2021,Q3,NHS Lothian,Elective Inpatients,4,784,1868,2.382653061,780,3501,4.488461538
2021Q4,2021,Q4,NHS Lothian,Elective Inpatients,4,683,1637,2.396778917,687,3016,4.390101892
2022Q1,2022,Q1,NHS Lothian,Elective Inpatients,4,701,1515,2.161198288,709,3250,4.583921016
2022Q2,2022,Q2,NHS Lothian,Elective Inpatients,4,741,1849,2.495276653,734,2782,3.790190736
2022Q3,2022,Q3,NHS Lothian,Elective Inpatients,4,736,1842,2.502717391,735,3069,4.175510204
2022Q4,2022,Q4,NHS Lothian,Elective Inpatients,4,867,1948,2.246828143,856,3380,3.948598131
2017Q4,2017,Q4,NHS Lothian,Elective Inpatients,5,1548,4324,2.793281654,1548,6750,4.360465116
2018Q1,2018,Q1,NHS Lothian,Elective Inpatients,5,1388,3973,2.862391931,1365,5692,4.16996337
2018Q2,2018,Q2,NHS Lothian,Elective Inpatients,5,1563,4929,3.153550864,1558,6993,4.488446727
2018Q3,2018,Q3,NHS Lothian,Elective Inpatients,5,1439,3955,2.748436414,1434,5808,4.050209205
2018Q4,2018,Q4,NHS Lothian,Elective Inpatients,5,1462,4101,2.80506156,1471,6082,4.134602311
2019Q1,2019,Q1,NHS Lothian,Elective Inpatients,5,1298,3727,2.871340524,1279,5057,3.953870211
2019Q2,2019,Q2,NHS Lothian,Elective Inpatients,5,1396,3625,2.596704871,1387,6105,4.401586157
2019Q3,2019,Q3,NHS Lothian,Elective Inpatients,5,1334,3555,2.664917541,1328,5824,4.385542169
2019Q4,2019,Q4,NHS Lothian,Elective Inpatients,5,1405,3629,2.582918149,1414,5891,4.166195191
2020Q1,2020,Q1,NHS Lothian,Elective Inpatients,5,1207,3592,2.975973488,1200,5296,4.413333333
2020Q2,2020,Q2,NHS Lothian,Elective Inpatients,5,507,1442,2.84418146,503,2769,5.504970179
2020Q3,2020,Q3,NHS Lothian,Elective Inpatients,5,930,2249,2.41827957,934,4178,4.473233405
2020Q4,2020,Q4,NHS Lothian,Elective Inpatients,5,1091,2616,2.397800183,1104,4599,4.16576087
2021Q1,2021,Q1,NHS Lothian,Elective Inpatients,5,952,2604,2.735294118,952,4157,4.366596639
2021Q2,2021,Q2,NHS Lothian,Elective Inpatients,5,1153,2771,2.40329575,1161,4292,3.696813092
2021Q3,2021,Q3,NHS Lothian,Elective Inpatients,5,986,2667,2.704868154,985,4201,4.264974619
2021Q4,2021,Q4,NHS Lothian,Elective Inpatients,5,912,2148,2.355263158,928,4396,4.737068966
2022Q1,2022,Q1,NHS Lothian,Elective Inpatients,5,897,1905,2.123745819,894,3415,3.819910515
2022Q2,2022,Q2,NHS Lothian,Elective Inpatients,5,919,2037,2.216539717,930,3876,4.167741935
2022Q3,2022,Q3,NHS Lothian,Elective Inpatients,5,981,2211,2.25382263,988,4495,4.549595142
2022Q4,2022,Q4,NHS Lothian,Elective Inpatients,5,1055,2452,2.324170616,1061,4344,4.094250707
2017Q4,2017,Q4,NHS Lothian,Elective Inpatients,NA,24,54,2.25,25,62,2.48
2018Q1,2018,Q1,NHS Lothian,Elective Inpatients,NA,15,74,4.933333333,15,74,4.933333333
2018Q2,2018,Q2,NHS Lothian,Elective Inpatients,NA,14,56,4,11,54,4.909090909
2018Q3,2018,Q3,NHS Lothian,Elective Inpatients,NA,31,121,3.903225806,25,180,7.2
2018Q4,2018,Q4,NHS Lothian,Elective Inpatients,NA,25,112,4.48,29,241,8.310344828
2019Q1,2019,Q1,NHS Lothian,Elective Inpatients,NA,18,52,2.888888889,20,66,3.3
2019Q2,2019,Q2,NHS Lothian,Elective Inpatients,NA,20,75,3.75,18,47,2.611111111
2019Q3,2019,Q3,NHS Lothian,Elective Inpatients,NA,20,46,2.3,23,169,7.347826087
2019Q4,2019,Q4,NHS Lothian,Elective Inpatients,NA,26,78,3,25,74,2.96
2020Q1,2020,Q1,NHS Lothian,Elective Inpatients,NA,11,23,2.090909091,11,74,6.727272727
2020Q2,2020,Q2,NHS Lothian,Elective Inpatients,NA,5,15,3,5,21,4.2
2020Q3,2020,Q3,NHS Lothian,Elective Inpatients,NA,5,0,0,5,6,1.2
2020Q4,2020,Q4,NHS Lothian,Elective Inpatients,NA,10,18,1.8,10,36,3.6
2021Q1,2021,Q1,NHS Lothian,Elective Inpatients,NA,11,12,1.090909091,10,15,1.5
2021Q2,2021,Q2,NHS Lothian,Elective Inpatients,NA,26,54,2.076923077,24,69,2.875
2021Q3,2021,Q3,NHS Lothian,Elective Inpatients,NA,10,23,2.3,10,71,7.1
2021Q4,2021,Q4,NHS Lothian,Elective Inpatients,NA,5,10,2,5,15,3
2022Q1,2022,Q1,NHS Lothian,Elective Inpatients,NA,11,15,1.363636364,11,27,2.454545455
2022Q2,2022,Q2,NHS Lothian,Elective Inpatients,NA,15,15,1,14,42,3
2022Q3,2022,Q3,NHS Lothian,Elective Inpatients,NA,12,37,3.083333333,14,63,4.5
2022Q4,2022,Q4,NHS Lothian,Elective Inpatients,NA,23,32,1.391304348,22,57,2.590909091
2017Q4,2017,Q4,NHS Orkney,Elective Inpatients,2,10,10,1,10,10,1
2018Q1,2018,Q1,NHS Orkney,Elective Inpatients,2,10,26,2.6,10,27,2.7
2018Q2,2018,Q2,NHS Orkney,Elective Inpatients,2,5,6,1.2,5,6,1.2
2018Q3,2018,Q3,NHS Orkney,Elective Inpatients,2,10,13,1.3,12,13,1.083333333
2018Q4,2018,Q4,NHS Orkney,Elective Inpatients,2,5,5,1,5,5,1
2019Q1,2019,Q1,NHS Orkney,Elective Inpatients,2,10,14,1.4,10,22,2.2
2019Q2,2019,Q2,NHS Orkney,Elective Inpatients,2,5,5,1,5,5,1
2019Q3,2019,Q3,NHS Orkney,Elective Inpatients,2,15,36,2.4,15,40,2.666666667
2019Q4,2019,Q4,NHS Orkney,Elective Inpatients,2,20,46,2.3,20,58,2.9
2020Q1,2020,Q1,NHS Orkney,Elective Inpatients,2,5,5,1,5,10,2
2020Q2,2020,Q2,NHS Orkney,Elective Inpatients,2,0,0,NA,0,0,NA
2020Q3,2020,Q3,NHS Orkney,Elective Inpatients,2,0,0,NA,0,0,NA
2020Q4,2020,Q4,NHS Orkney,Elective Inpatients,2,5,10,2,10,10,1
2021Q1,2021,Q1,NHS Orkney,Elective Inpatients,2,10,13,1.3,10,25,2.5
2021Q2,2021,Q2,NHS Orkney,Elective Inpatients,2,5,5,1,5,14,2.8
2021Q3,2021,Q3,NHS Orkney,Elective Inpatients,2,5,7,1.4,10,11,1.1
2021Q4,2021,Q4,NHS Orkney,Elective Inpatients,2,5,7,1.4,5,9,1.8
2022Q1,2022,Q1,NHS Orkney,Elective Inpatients,2,5,45,9,5,45,9
2022Q2,2022,Q2,NHS Orkney,Elective Inpatients,2,5,6,1.2,5,6,1.2
2022Q3,2022,Q3,NHS Orkney,Elective Inpatients,2,5,5,1,5,10,2
2022Q4,2022,Q4,NHS Orkney,Elective Inpatients,2,0,10,NA,0,10,NA
2017Q4,2017,Q4,NHS Orkney,Elective Inpatients,3,5,36,7.2,5,36,7.2
2018Q1,2018,Q1,NHS Orkney,Elective Inpatients,3,5,6,1.2,5,6,1.2
2018Q2,2018,Q2,NHS Orkney,Elective Inpatients,3,5,8,1.6,5,9,1.8
2018Q3,2018,Q3,NHS Orkney,Elective Inpatients,3,5,5,1,5,5,1
2018Q4,2018,Q4,NHS Orkney,Elective Inpatients,3,5,5,1,5,5,1
2019Q1,2019,Q1,NHS Orkney,Elective Inpatients,3,5,39,7.8,10,40,4
2019Q2,2019,Q2,NHS Orkney,Elective Inpatients,3,10,12,1.2,10,12,1.2
2019Q3,2019,Q3,NHS Orkney,Elective Inpatients,3,5,8,1.6,5,8,1.6
2019Q4,2019,Q4,NHS Orkney,Elective Inpatients,3,5,21,4.2,5,51,10.2
2020Q1,2020,Q1,NHS Orkney,Elective Inpatients,3,5,8,1.6,5,8,1.6
2020Q2,2020,Q2,NHS Orkney,Elective Inpatients,3,5,7,1.4,5,7,1.4
2020Q3,2020,Q3,NHS Orkney,Elective Inpatients,3,5,6,1.2,5,15,3
2020Q4,2020,Q4,NHS Orkney,Elective Inpatients,3,5,5,1,5,20,4
2021Q1,2021,Q1,NHS Orkney,Elective Inpatients,3,5,7,1.4,5,9,1.8
2021Q2,2021,Q2,NHS Orkney,Elective Inpatients,3,5,7,1.4,10,13,1.3
2021Q3,2021,Q3,NHS Orkney,Elective Inpatients,3,5,10,2,5,13,2.6
2021Q4,2021,Q4,NHS Orkney,Elective Inpatients,3,5,5,1,5,21,4.2
2022Q1,2022,Q1,NHS Orkney,Elective Inpatients,3,5,11,2.2,5,15,3
2022Q2,2022,Q2,NHS Orkney,Elective Inpatients,3,5,7,1.4,5,7,1.4
2022Q3,2022,Q3,NHS Orkney,Elective Inpatients,3,0,0,NA,0,0,NA
2022Q4,2022,Q4,NHS Orkney,Elective Inpatients,3,5,12,2.4,5,18,3.6
2017Q4,2017,Q4,NHS Orkney,Elective Inpatients,4,13,15,1.153846154,15,36,2.4
2018Q1,2018,Q1,NHS Orkney,Elective Inpatients,4,19,28,1.473684211,20,44,2.2
2018Q2,2018,Q2,NHS Orkney,Elective Inpatients,4,15,35,2.333333333,15,35,2.333333333
2018Q3,2018,Q3,NHS Orkney,Elective Inpatients,4,10,8,0.8,10,12,1.2
2018Q4,2018,Q4,NHS Orkney,Elective Inpatients,4,22,23,1.045454545,25,60,2.4
2019Q1,2019,Q1,NHS Orkney,Elective Inpatients,4,12,12,1,15,63,4.2
2019Q2,2019,Q2,NHS Orkney,Elective Inpatients,4,18,33,1.833333333,19,51,2.684210526
2019Q3,2019,Q3,NHS Orkney,Elective Inpatients,4,10,15,1.5,13,35,2.692307692
2019Q4,2019,Q4,NHS Orkney,Elective Inpatients,4,16,17,1.0625,15,32,2.133333333
2020Q1,2020,Q1,NHS Orkney,Elective Inpatients,4,16,22,1.375,20,54,2.7
2020Q2,2020,Q2,NHS Orkney,Elective Inpatients,4,5,5,1,5,11,2.2
2020Q3,2020,Q3,NHS Orkney,Elective Inpatients,4,14,15,1.071428571,15,24,1.6
2020Q4,2020,Q4,NHS Orkney,Elective Inpatients,4,11,31,2.818181818,15,70,4.666666667
2021Q1,2021,Q1,NHS Orkney,Elective Inpatients,4,15,48,3.2,15,48,3.2
2021Q2,2021,Q2,NHS Orkney,Elective Inpatients,4,10,22,2.2,15,46,3.066666667
2021Q3,2021,Q3,NHS Orkney,Elective Inpatients,4,12,14,1.166666667,15,49,3.266666667
2021Q4,2021,Q4,NHS Orkney,Elective Inpatients,4,15,39,2.6,20,45,2.25
2022Q1,2022,Q1,NHS Orkney,Elective Inpatients,4,5,9,1.8,10,21,2.1
2022Q2,2022,Q2,NHS Orkney,Elective Inpatients,4,16,25,1.5625,15,33,2.2
2022Q3,2022,Q3,NHS Orkney,Elective Inpatients,4,18,39,2.166666667,20,44,2.2
2022Q4,2022,Q4,NHS Orkney,Elective Inpatients,4,10,19,1.9,10,25,2.5
2020Q3,2020,Q3,NHS Orkney,Elective Inpatients,NA,0,0,NA,0,0,NA
2021Q3,2021,Q3,NHS Orkney,Elective Inpatients,NA,0,0,NA,0,0,NA
2022Q3,2022,Q3,NHS Orkney,Elective Inpatients,NA,0,9,NA,0,9,NA
2018Q2,2018,Q2,NHS Shetland,Elective Inpatients,1,0,0,NA,0,0,NA
2017Q4,2017,Q4,NHS Shetland,Elective Inpatients,2,0,0,NA,0,0,NA
2018Q1,2018,Q1,NHS Shetland,Elective Inpatients,2,0,0,NA,0,0,NA
2018Q2,2018,Q2,NHS Shetland,Elective Inpatients,2,5,6,1.2,5,6,1.2
2018Q3,2018,Q3,NHS Shetland,Elective Inpatients,2,5,7,1.4,5,7,1.4
2018Q4,2018,Q4,NHS Shetland,Elective Inpatients,2,5,10,2,5,10,2
2019Q1,2019,Q1,NHS Shetland,Elective Inpatients,2,5,6,1.2,5,6,1.2
2019Q2,2019,Q2,NHS Shetland,Elective Inpatients,2,5,10,2,5,10,2
2019Q3,2019,Q3,NHS Shetland,Elective Inpatients,2,5,14,2.8,5,21,4.2
2019Q4,2019,Q4,NHS Shetland,Elective Inpatients,2,5,6,1.2,5,6,1.2
2020Q1,2020,Q1,NHS Shetland,Elective Inpatients,2,0,5,NA,0,5,NA
