Quarter,Location,HBName,AdmissionType,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay,Year,Quarter_single
2022Q2,S08000022,NHS Highland,Elective Inpatients,Male,80-89 years,65,97,1.49230769230769,65,189,2.90769230769231,2022,Q2
2022Q3,S08000022,NHS Highland,Elective Inpatients,Male,80-89 years,59,141,2.38983050847458,59,288,4.88135593220339,2022,Q3
2022Q4,S08000022,NHS Highland,Elective Inpatients,Male,80-89 years,74,138,1.86486486486486,79,298,3.77215189873418,2022,Q4
2017Q4,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,8,1.6,5,13,2.6,2017,Q4
2018Q1,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,39,7.8,5,17,3.4,2018,Q1
2018Q2,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,15,41,2.73333333333333,15,105,7,2018,Q2
2018Q3,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,6,1.2,5,13,2.6,2018,Q3
2018Q4,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,17,3.4,5,30,6,2018,Q4
2019Q1,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,5,1,5,5,1,2019,Q1
2019Q2,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,10,26,2.6,10,32,3.2,2019,Q2
2019Q3,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,11,23,2.09090909090909,11,121,11,2019,Q3
2019Q4,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,13,2.6,5,14,2.8,2019,Q4
2020Q1,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,0,0,5,0,0,2020,Q1
2020Q2,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,0,0,5,9,1.8,2020,Q2
2020Q3,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,20,4,5,32,6.4,2020,Q3
2020Q4,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,0,5,NA,0,5,NA,2020,Q4
2021Q1,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,0,0,NA,0,0,NA,2021,Q1
2021Q2,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,12,2.4,5,12,2.4,2021,Q2
2021Q3,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,8,1.6,5,11,2.2,2021,Q3
2021Q4,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,0,24,NA,0,24,NA,2021,Q4
2022Q1,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,0,5,NA,0,5,NA,2022,Q1
2022Q2,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,32,6.4,5,43,8.6,2022,Q2
2022Q3,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,7,1.4,5,5,1,2022,Q3
2022Q4,S08000022,NHS Highland,Elective Inpatients,Male,90 years and over,5,10,2,5,30,6,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,10,5,0.5,11,6,0.545454545454545,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,11,5,0.454545454545455,11,5,0.454545454545455,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,15,6,0.4,15,6,0.4,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,23,10,0.434782608695652,23,10,0.434782608695652,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,12,8,0.666666666666667,12,8,0.666666666666667,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,17,5,0.294117647058824,17,6,0.352941176470588,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,12,5,0.416666666666667,12,5,0.416666666666667,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,12,0,0,12,0,0,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,13,10,0.769230769230769,13,10,0.769230769230769,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,12,5,0.416666666666667,12,5,0.416666666666667,2020,Q1
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,0,0,NA,0,0,NA,2020,Q3
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,5,0,0,5,0,0,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,5,0,0,5,5,1,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,0,0,NA,0,0,NA,2021,Q4
2022Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,0,0,NA,0,0,NA,2022,Q1
2022Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,5,5,1,5,5,1,2022,Q2
2022Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,10,5,0.5,10,5,0.5,2022,Q3
2022Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,0-9 years,5,0,0,5,0,0,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,27,22,0.814814814814815,27,28,1.03703703703704,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,19,14,0.736842105263158,21,19,0.904761904761905,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,22,25,1.13636363636364,22,25,1.13636363636364,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,29,29,1,30,30,1,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,27,16,0.592592592592593,28,61,2.17857142857143,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,27,23,0.851851851851852,27,27,1,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,23,15,0.652173913043478,25,24,0.96,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,25,20,0.8,25,20,0.8,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,14,8,0.571428571428571,15,8,0.533333333333333,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,6,1.2,10,18,1.8,2020,Q1
2020Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,0,0,NA,0,0,NA,2020,Q2
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,0,5,NA,0,5,NA,2020,Q3
2020Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,0,0,5,0,0,2020,Q4
2021Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,0,0,5,0,0,2021,Q1
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,10,2,5,10,2,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,9,1.8,5,9,1.8,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,0,0,5,0,0,2021,Q4
2022Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,0,0,5,0,0,2022,Q1
2022Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,5,1,5,5,1,2022,Q2
2022Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,5,1,5,5,1,2022,Q3
2022Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,10-19 years,5,5,1,5,5,1,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,45,228,5.06666666666667,46,83,1.80434782608696,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,40,46,1.15,41,58,1.41463414634146,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,35,61,1.74285714285714,37,64,1.72972972972973,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,46,57,1.23913043478261,46,68,1.47826086956522,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,56,57,1.01785714285714,57,555,9.73684210526316,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,53,87,1.64150943396226,53,98,1.84905660377358,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,45,33,0.733333333333333,45,38,0.844444444444444,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,51,50,0.980392156862745,50,71,1.42,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,35,29,0.828571428571429,37,49,1.32432432432432,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,30,46,1.53333333333333,30,48,1.6,2020,Q1
2020Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,10,15,1.5,10,17,1.7,2020,Q2
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,5,5,1,5,5,1,2020,Q3
2020Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,5,5,1,5,7,1.4,2020,Q4
2021Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,14,9,0.642857142857143,15,18,1.2,2021,Q1
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,21,38,1.80952380952381,20,55,2.75,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,19,10,0.526315789473684,19,12,0.631578947368421,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,11,5,0.454545454545455,11,6,0.545454545454545,2021,Q4
2022Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,10,22,2.2,11,31,2.81818181818182,2022,Q1
2022Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,15,13,0.866666666666667,16,24,1.5,2022,Q2
2022Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,20,11,0.55,20,18,0.9,2022,Q3
2022Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,20-29 years,19,14,0.736842105263158,18,14,0.777777777777778,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,65,89,1.36923076923077,65,100,1.53846153846154,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,60,56,0.933333333333333,62,66,1.06451612903226,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,58,81,1.39655172413793,58,82,1.41379310344828,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,64,101,1.578125,65,112,1.72307692307692,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,79,140,1.77215189873418,78,159,2.03846153846154,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,69,92,1.33333333333333,72,127,1.76388888888889,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,61,88,1.44262295081967,59,103,1.74576271186441,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,58,51,0.879310344827586,59,144,2.4406779661017,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,65,86,1.32307692307692,68,183,2.69117647058824,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,47,49,1.04255319148936,48,69,1.4375,2020,Q1
2020Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,19,39,2.05263157894737,16,37,2.3125,2020,Q2
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,21,30,1.42857142857143,22,52,2.36363636363636,2020,Q3
2020Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,35,35,1,35,46,1.31428571428571,2020,Q4
2021Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,17,27,1.58823529411765,17,27,1.58823529411765,2021,Q1
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,56,51,0.910714285714286,57,83,1.45614035087719,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,38,32,0.842105263157895,38,41,1.07894736842105,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,25,46,1.84,26,128,4.92307692307692,2021,Q4
2022Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,30,47,1.56666666666667,28,36,1.28571428571429,2022,Q1
2022Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,34,26,0.764705882352941,38,119,3.13157894736842,2022,Q2
2022Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,47,47,1,45,53,1.17777777777778,2022,Q3
2022Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,30-39 years,46,41,0.891304347826087,49,91,1.85714285714286,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,109,221,2.02752293577982,111,313,2.81981981981982,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,115,208,1.80869565217391,116,253,2.18103448275862,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,106,194,1.83018867924528,109,281,2.57798165137615,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,104,169,1.625,104,187,1.79807692307692,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,108,141,1.30555555555556,110,233,2.11818181818182,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,102,170,1.66666666666667,101,195,1.93069306930693,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,82,128,1.5609756097561,85,152,1.78823529411765,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,93,101,1.08602150537634,94,185,1.96808510638298,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,102,203,1.99019607843137,103,310,3.00970873786408,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,80,90,1.125,80,118,1.475,2020,Q1
2020Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,18,19,1.05555555555556,18,21,1.16666666666667,2020,Q2
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,25,21,0.84,25,40,1.6,2020,Q3
2020Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,27,45,1.66666666666667,26,55,2.11538461538462,2020,Q4
2021Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,32,546,17.0625,33,556,16.8484848484848,2021,Q1
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,58,63,1.08620689655172,60,85,1.41666666666667,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,58,72,1.24137931034483,58,80,1.37931034482759,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,29,31,1.06896551724138,30,46,1.53333333333333,2021,Q4
2022Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,31,73,2.35483870967742,34,106,3.11764705882353,2022,Q1
2022Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,43,42,0.976744186046512,43,79,1.83720930232558,2022,Q2
2022Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,59,50,0.847457627118644,59,112,1.89830508474576,2022,Q3
2022Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,40-49 years,43,35,0.813953488372093,43,96,2.23255813953488,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,164,293,1.78658536585366,171,471,2.75438596491228,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,180,301,1.67222222222222,182,625,3.43406593406593,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,197,349,1.77157360406091,199,408,2.05025125628141,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,182,330,1.81318681318681,186,677,3.63978494623656,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,216,518,2.39814814814815,217,737,3.3963133640553,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,200,417,2.085,202,739,3.65841584158416,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,211,348,1.64928909952607,213,529,2.48356807511737,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,178,219,1.23033707865169,181,291,1.60773480662983,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,190,255,1.34210526315789,191,412,2.15706806282722,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,186,245,1.31720430107527,190,400,2.10526315789474,2020,Q1
2020Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,20,71,3.55,21,203,9.66666666666667,2020,Q2
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,53,103,1.94339622641509,52,143,2.75,2020,Q3
2020Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,80,144,1.8,80,268,3.35,2020,Q4
2021Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,53,71,1.33962264150943,56,155,2.76785714285714,2021,Q1
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,115,147,1.27826086956522,118,299,2.53389830508475,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,105,117,1.11428571428571,106,274,2.58490566037736,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,53,203,3.83018867924528,57,233,4.08771929824561,2021,Q4
2022Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,57,81,1.42105263157895,59,189,3.20338983050847,2022,Q1
2022Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,104,146,1.40384615384615,106,240,2.26415094339623,2022,Q2
2022Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,134,160,1.19402985074627,135,327,2.42222222222222,2022,Q3
2022Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,50-59 years,120,183,1.525,125,263,2.104,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,190,529,2.78421052631579,197,715,3.62944162436548,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,195,457,2.34358974358974,198,608,3.07070707070707,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,229,559,2.4410480349345,233,790,3.39055793991416,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,232,589,2.53879310344828,236,732,3.10169491525424,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,207,455,2.19806763285024,215,708,3.29302325581395,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,196,424,2.16326530612245,198,574,2.8989898989899,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,207,492,2.3768115942029,214,975,4.55607476635514,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,197,350,1.77664974619289,202,697,3.45049504950495,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,206,356,1.72815533980583,213,649,3.04694835680751,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,162,292,1.80246913580247,161,392,2.43478260869565,2020,Q1
2020Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,34,49,1.44117647058824,34,185,5.44117647058824,2020,Q2
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,75,170,2.26666666666667,74,238,3.21621621621622,2020,Q3
2020Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,58,83,1.43103448275862,60,138,2.3,2020,Q4
2021Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,54,124,2.2962962962963,60,187,3.11666666666667,2021,Q1
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,123,237,1.92682926829268,124,299,2.41129032258065,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,117,178,1.52136752136752,118,302,2.5593220338983,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,86,152,1.76744186046512,88,401,4.55681818181818,2021,Q4
2022Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,77,133,1.72727272727273,82,405,4.9390243902439,2022,Q1
2022Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,125,291,2.328,127,529,4.16535433070866,2022,Q2
2022Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,157,251,1.59872611464968,159,383,2.40880503144654,2022,Q3
2022Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,60-69 years,151,296,1.96026490066225,159,572,3.59748427672956,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,178,653,3.6685393258427,183,963,5.26229508196721,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,201,528,2.62686567164179,204,754,3.69607843137255,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,203,476,2.3448275862069,203,678,3.33990147783251,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,218,760,3.48623853211009,226,1054,4.66371681415929,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,236,682,2.88983050847458,248,1105,4.45564516129032,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,201,644,3.20398009950249,205,865,4.21951219512195,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,203,521,2.56650246305419,204,695,3.40686274509804,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,202,514,2.54455445544554,206,825,4.00485436893204,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,237,479,2.0210970464135,244,802,3.28688524590164,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,162,353,2.17901234567901,170,625,3.67647058823529,2020,Q1
2020Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,27,39,1.44444444444444,26,81,3.11538461538462,2020,Q2
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,58,111,1.91379310344828,60,231,3.85,2020,Q3
2020Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,73,119,1.63013698630137,75,209,2.78666666666667,2020,Q4
2021Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,79,136,1.72151898734177,82,239,2.91463414634146,2021,Q1
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,135,342,2.53333333333333,137,523,3.81751824817518,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,99,257,2.5959595959596,103,330,3.20388349514563,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,81,161,1.98765432098765,82,329,4.01219512195122,2021,Q4
2022Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,96,187,1.94791666666667,96,267,2.78125,2022,Q1
2022Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,111,168,1.51351351351351,113,394,3.48672566371681,2022,Q2
2022Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,187,335,1.79144385026738,188,439,2.33510638297872,2022,Q3
2022Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,70-79 years,144,339,2.35416666666667,148,562,3.7972972972973,2022,Q4
2017Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,102,338,3.31372549019608,107,432,4.03738317757009,2017,Q4
2018Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,99,298,3.01010101010101,103,470,4.5631067961165,2018,Q1
2018Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,79,273,3.45569620253165,84,318,3.78571428571429,2018,Q2
2018Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,105,251,2.39047619047619,106,336,3.16981132075472,2018,Q3
2018Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,106,214,2.0188679245283,110,381,3.46363636363636,2018,Q4
2019Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,77,173,2.24675324675325,84,225,2.67857142857143,2019,Q1
2019Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,90,328,3.64444444444444,92,371,4.03260869565217,2019,Q2
2019Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,82,215,2.6219512195122,90,418,4.64444444444444,2019,Q3
2019Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,109,292,2.67889908256881,114,360,3.1578947368421,2019,Q4
2020Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,72,228,3.16666666666667,75,336,4.48,2020,Q1
2020Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,26,51,1.96153846153846,27,257,9.51851851851852,2020,Q2
2020Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,26,51,1.96153846153846,29,125,4.31034482758621,2020,Q3
2020Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,41,111,2.70731707317073,46,187,4.06521739130435,2020,Q4
2021Q1,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,41,152,3.70731707317073,41,227,5.53658536585366,2021,Q1
2021Q2,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,62,166,2.67741935483871,65,309,4.75384615384615,2021,Q2
2021Q3,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,54,131,2.42592592592593,56,158,2.82142857142857,2021,Q3
2021Q4,S08000032,NHS Lanarkshire,Elective Inpatients,Female,80-89 years,38,93,2.44736842105263,41,127,3.09756097560976,2021,Q4
