Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2018Q1,,S08000020,,S08000020,d,Elective Inpatients,,4,,789,2021,2.561470215,,790,3202,4.053164557,
2018Q2,,S08000020,,S08000020,d,Elective Inpatients,,4,,955,2117,2.216753927,,954,3286,3.444444444,
2018Q3,,S08000020,,S08000020,d,Elective Inpatients,,4,,908,2069,2.278634361,,919,3526,3.836779108,
2018Q4,,S08000020,,S08000020,d,Elective Inpatients,,4,,944,2067,2.189618644,,951,3520,3.701366982,
2019Q1,,S08000020,,S08000020,d,Elective Inpatients,,4,,912,1846,2.024122807,,920,2895,3.14673913,
2019Q2,,S08000020,,S08000020,d,Elective Inpatients,,4,,963,2197,2.281412253,,961,3369,3.505723205,
2019Q3,,S08000020,,S08000020,d,Elective Inpatients,,4,,988,2159,2.185222672,,993,3778,3.804632427,
2019Q4,,S08000020,,S08000020,d,Elective Inpatients,,4,,895,1970,2.201117318,,921,2945,3.197611292,
2020Q1,,S08000020,,S08000020,d,Elective Inpatients,,4,,810,1694,2.091358025,,836,3235,3.869617225,
2020Q2,,S08000020,,S08000020,d,Elective Inpatients,,4,,317,713,2.249211356,,324,1273,3.929012346,
2020Q3,,S08000020,,S08000020,d,Elective Inpatients,,4,,495,1174,2.371717172,,498,1911,3.837349398,
2020Q4,,S08000020,,S08000020,d,Elective Inpatients,,4,,672,1662,2.473214286,,685,2653,3.872992701,
2021Q1,,S08000020,,S08000020,d,Elective Inpatients,,4,,418,885,2.11722488,,422,1507,3.571090047,
2021Q2,,S08000020,,S08000020,d,Elective Inpatients,,4,,656,1416,2.158536585,,673,2948,4.38038633,
2021Q3,,S08000020,,S08000020,d,Elective Inpatients,,4,,664,1557,2.344879518,,674,2240,3.323442136,
2021Q4,,S08000020,,S08000020,d,Elective Inpatients,,4,,588,1338,2.275510204,,604,2354,3.897350993,
2022Q1,,S08000020,,S08000020,d,Elective Inpatients,,4,,617,1387,2.247974068,,624,2035,3.261217949,
2022Q2,,S08000020,,S08000020,d,Elective Inpatients,,4,,756,1693,2.239417989,,761,2758,3.624178712,
2022Q3,,S08000020,,S08000020,d,Elective Inpatients,,4,,713,1499,2.102384292,,736,2560,3.47826087,
2022Q4,p,S08000020,,S08000020,d,Elective Inpatients,,4,,723,1679,2.322268326,,743,2573,3.462987887,
2017Q4,,S08000020,,S08000020,d,Elective Inpatients,,5,,668,1580,2.365269461,,674,2303,3.416913947,
2018Q1,,S08000020,,S08000020,d,Elective Inpatients,,5,,571,1408,2.465849387,,569,2159,3.794376098,
2018Q2,,S08000020,,S08000020,d,Elective Inpatients,,5,,723,1745,2.413554633,,721,2781,3.857142857,
2018Q3,,S08000020,,S08000020,d,Elective Inpatients,,5,,681,1496,2.196769457,,696,2470,3.548850575,
2018Q4,,S08000020,,S08000020,d,Elective Inpatients,,5,,720,1694,2.352777778,,728,2550,3.502747253,
2019Q1,,S08000020,,S08000020,d,Elective Inpatients,,5,,703,1625,2.311522048,,700,2344,3.348571429,
2019Q2,,S08000020,,S08000020,d,Elective Inpatients,,5,,684,1457,2.130116959,,686,2259,3.293002915,
2019Q3,,S08000020,,S08000020,d,Elective Inpatients,,5,,705,1419,2.012765957,,715,2445,3.41958042,
2019Q4,,S08000020,,S08000020,d,Elective Inpatients,,5,,645,1251,1.939534884,,666,2331,3.5,
2020Q1,,S08000020,,S08000020,d,Elective Inpatients,,5,,592,1198,2.023648649,,604,1896,3.139072848,
2020Q2,,S08000020,,S08000020,d,Elective Inpatients,,5,,197,455,2.30964467,,193,810,4.196891192,
2020Q3,,S08000020,,S08000020,d,Elective Inpatients,,5,,355,682,1.921126761,,363,1217,3.35261708,
2020Q4,,S08000020,,S08000020,d,Elective Inpatients,,5,,507,1142,2.252465483,,521,1656,3.178502879,
2021Q1,,S08000020,,S08000020,d,Elective Inpatients,,5,,331,741,2.238670695,,335,1381,4.12238806,
2021Q2,,S08000020,,S08000020,d,Elective Inpatients,,5,,500,1146,2.292,,503,1867,3.711729622,
2021Q3,,S08000020,,S08000020,d,Elective Inpatients,,5,,517,1089,2.106382979,,528,1939,3.672348485,
2021Q4,,S08000020,,S08000020,d,Elective Inpatients,,5,,525,1174,2.236190476,,538,2019,3.752788104,
2022Q1,,S08000020,,S08000020,d,Elective Inpatients,,5,,519,1055,2.032755299,,523,1944,3.717017208,
2022Q2,,S08000020,,S08000020,d,Elective Inpatients,,5,,511,954,1.866927593,,518,1704,3.28957529,
2022Q3,,S08000020,,S08000020,d,Elective Inpatients,,5,,540,1142,2.114814815,,553,2001,3.618444846,
2022Q4,p,S08000020,,S08000020,d,Elective Inpatients,,5,,519,1411,2.718689788,,529,2210,4.177693762,
2017Q4,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,13,2.6,,5,13,2.6,
2018Q1,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,5,1,,5,20,4,
2018Q2,,S08000020,,S08000020,d,Elective Inpatients,,,:,0,5,,z,0,5,,z
2018Q3,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,5,1,,5,8,1.6,
2018Q4,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,12,2.4,,5,10,2,
2019Q1,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,5,1,,5,5,1,
2019Q2,,S08000020,,S08000020,d,Elective Inpatients,,,:,0,51,,z,0,51,,z
2019Q3,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,5,1,,5,5,1,
2019Q4,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,5,1,,5,5,1,
2020Q1,,S08000020,,S08000020,d,Elective Inpatients,,,:,0,5,,z,0,5,,z
2020Q3,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,5,1,,5,5,1,
2020Q4,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,6,1.2,,5,6,1.2,
2021Q1,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,5,1,,5,5,1,
2021Q2,,S08000020,,S08000020,d,Elective Inpatients,,,:,10,19,1.9,,10,19,1.9,
2021Q3,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,5,1,,5,11,2.2,
2021Q4,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,14,2.8,,5,14,2.8,
2022Q1,,S08000020,,S08000020,d,Elective Inpatients,,,:,10,8,0.8,,10,8,0.8,
2022Q2,,S08000020,,S08000020,d,Elective Inpatients,,,:,5,12,2.4,,5,12,2.4,
2022Q4,p,S08000020,,S08000020,d,Elective Inpatients,,,:,0,0,,z,0,0,,z
2017Q4,,S08000031,,G107H,,Elective Inpatients,,1,,845,2199,2.602366864,,855,3361,3.930994152,
2018Q1,,S08000031,,G107H,,Elective Inpatients,,1,,764,1617,2.116492147,,753,3004,3.98937583,
2018Q2,,S08000031,,G107H,,Elective Inpatients,,1,,774,1546,1.997416021,,786,2866,3.646310433,
2018Q3,,S08000031,,G107H,,Elective Inpatients,,1,,753,1497,1.988047809,,757,2128,2.811096433,
2018Q4,,S08000031,,G107H,,Elective Inpatients,,1,,701,1386,1.977175464,,706,2271,3.216713881,
2019Q1,,S08000031,,G107H,,Elective Inpatients,,1,,765,1390,1.816993464,,765,2452,3.205228758,
2019Q2,,S08000031,,G107H,,Elective Inpatients,,1,,715,1303,1.822377622,,718,2150,2.994428969,
2019Q3,,S08000031,,G107H,,Elective Inpatients,,1,,674,1073,1.591988131,,675,1907,2.825185185,
2019Q4,,S08000031,,G107H,,Elective Inpatients,,1,,778,1390,1.786632391,,786,2268,2.885496183,
2020Q1,,S08000031,,G107H,,Elective Inpatients,,1,,720,1088,1.511111111,,720,1728,2.4,
2020Q2,,S08000031,,G107H,,Elective Inpatients,,1,,332,739,2.225903614,,330,1146,3.472727273,
2020Q3,,S08000031,,G107H,,Elective Inpatients,,1,,554,1047,1.889891697,,560,1823,3.255357143,
2020Q4,,S08000031,,G107H,,Elective Inpatients,,1,,494,1003,2.030364372,,495,1504,3.038383838,
2021Q1,,S08000031,,G107H,,Elective Inpatients,,1,,371,863,2.326145553,,375,1494,3.984,
2021Q2,,S08000031,,G107H,,Elective Inpatients,,1,,480,1093,2.277083333,,480,1973,4.110416667,
2021Q3,,S08000031,,G107H,,Elective Inpatients,,1,,437,846,1.935926773,,440,1335,3.034090909,
2021Q4,,S08000031,,G107H,,Elective Inpatients,,1,,432,1018,2.356481481,,436,1795,4.116972477,
2022Q1,,S08000031,,G107H,,Elective Inpatients,,1,,321,662,2.062305296,,327,1193,3.648318043,
2022Q2,,S08000031,,G107H,,Elective Inpatients,,1,,408,892,2.18627451,,405,1572,3.881481481,
2022Q3,,S08000031,,G107H,,Elective Inpatients,,1,,558,1209,2.166666667,,560,2185,3.901785714,
2022Q4,p,S08000031,,G107H,,Elective Inpatients,,1,,607,1159,1.909390445,,610,1895,3.106557377,
2017Q4,,S08000031,,G107H,,Elective Inpatients,,2,,474,1097,2.314345992,,475,2030,4.273684211,
2018Q1,,S08000031,,G107H,,Elective Inpatients,,2,,394,863,2.19035533,,395,1373,3.475949367,
2018Q2,,S08000031,,G107H,,Elective Inpatients,,2,,433,971,2.242494226,,430,1403,3.262790698,
2018Q3,,S08000031,,G107H,,Elective Inpatients,,2,,408,897,2.198529412,,410,1305,3.182926829,
2018Q4,,S08000031,,G107H,,Elective Inpatients,,2,,396,817,2.063131313,,400,1469,3.6725,
2019Q1,,S08000031,,G107H,,Elective Inpatients,,2,,440,809,1.838636364,,435,1247,2.866666667,
2019Q2,,S08000031,,G107H,,Elective Inpatients,,2,,423,882,2.085106383,,425,1586,3.731764706,
2019Q3,,S08000031,,G107H,,Elective Inpatients,,2,,385,613,1.592207792,,385,1355,3.519480519,
2019Q4,,S08000031,,G107H,,Elective Inpatients,,2,,387,623,1.609819121,,390,1119,2.869230769,
2020Q1,,S08000031,,G107H,,Elective Inpatients,,2,,367,663,1.80653951,,365,1141,3.126027397,
2020Q2,,S08000031,,G107H,,Elective Inpatients,,2,,159,277,1.742138365,,155,348,2.24516129,
2020Q3,,S08000031,,G107H,,Elective Inpatients,,2,,301,611,2.029900332,,295,983,3.33220339,
2020Q4,,S08000031,,G107H,,Elective Inpatients,,2,,237,557,2.35021097,,245,913,3.726530612,
2021Q1,,S08000031,,G107H,,Elective Inpatients,,2,,187,507,2.711229947,,185,574,3.102702703,
2021Q2,,S08000031,,G107H,,Elective Inpatients,,2,,275,647,2.352727273,,275,961,3.494545455,
2021Q3,,S08000031,,G107H,,Elective Inpatients,,2,,256,512,2,,255,836,3.278431373,
2021Q4,,S08000031,,G107H,,Elective Inpatients,,2,,232,494,2.129310345,,235,934,3.974468085,
2022Q1,,S08000031,,G107H,,Elective Inpatients,,2,,174,379,2.17816092,,170,645,3.794117647,
2022Q2,,S08000031,,G107H,,Elective Inpatients,,2,,211,513,2.431279621,,205,731,3.565853659,
2022Q3,,S08000031,,G107H,,Elective Inpatients,,2,,286,661,2.311188811,,285,1354,4.750877193,
2022Q4,p,S08000031,,G107H,,Elective Inpatients,,2,,307,705,2.296416938,,310,1257,4.05483871,
2017Q4,,S08000031,,G107H,,Elective Inpatients,,3,,366,742,2.027322404,,370,1346,3.637837838,
2018Q1,,S08000031,,G107H,,Elective Inpatients,,3,,288,782,2.715277778,,290,1201,4.14137931,
2018Q2,,S08000031,,G107H,,Elective Inpatients,,3,,354,707,1.997175141,,345,1005,2.913043478,
2018Q3,,S08000031,,G107H,,Elective Inpatients,,3,,296,562,1.898648649,,300,1066,3.553333333,
2018Q4,,S08000031,,G107H,,Elective Inpatients,,3,,298,719,2.412751678,,305,995,3.262295082,
2019Q1,,S08000031,,G107H,,Elective Inpatients,,3,,314,629,2.003184713,,310,1104,3.561290323,
2019Q2,,S08000031,,G107H,,Elective Inpatients,,3,,312,656,2.102564103,,315,1216,3.86031746,
2019Q3,,S08000031,,G107H,,Elective Inpatients,,3,,313,514,1.642172524,,310,1026,3.309677419,
2019Q4,,S08000031,,G107H,,Elective Inpatients,,3,,290,748,2.579310345,,290,1091,3.762068966,
2020Q1,,S08000031,,G107H,,Elective Inpatients,,3,,291,783,2.690721649,,290,1162,4.006896552,
2020Q2,,S08000031,,G107H,,Elective Inpatients,,3,,115,203,1.765217391,,115,410,3.565217391,
2020Q3,,S08000031,,G107H,,Elective Inpatients,,3,,229,489,2.135371179,,226,729,3.225663717,
2020Q4,,S08000031,,G107H,,Elective Inpatients,,3,,193,548,2.839378238,,200,926,4.63,
2021Q1,,S08000031,,G107H,,Elective Inpatients,,3,,146,431,2.952054795,,145,563,3.882758621,
2021Q2,,S08000031,,G107H,,Elective Inpatients,,3,,215,447,2.079069767,,210,713,3.395238095,
2021Q3,,S08000031,,G107H,,Elective Inpatients,,3,,206,505,2.451456311,,205,898,4.380487805,
2021Q4,,S08000031,,G107H,,Elective Inpatients,,3,,181,365,2.016574586,,185,822,4.443243243,
2022Q1,,S08000031,,G107H,,Elective Inpatients,,3,,144,300,2.083333333,,145,651,4.489655172,
2022Q2,,S08000031,,G107H,,Elective Inpatients,,3,,156,320,2.051282051,,155,487,3.141935484,
2022Q3,,S08000031,,G107H,,Elective Inpatients,,3,,238,550,2.31092437,,230,886,3.852173913,
2022Q4,p,S08000031,,G107H,,Elective Inpatients,,3,,234,458,1.957264957,,240,784,3.266666667,
2017Q4,,S08000031,,G107H,,Elective Inpatients,,4,,323,736,2.278637771,,330,1214,3.678787879,
2018Q1,,S08000031,,G107H,,Elective Inpatients,,4,,304,668,2.197368421,,295,1219,4.13220339,
2018Q2,,S08000031,,G107H,,Elective Inpatients,,4,,303,683,2.254125413,,305,1158,3.796721311,
2018Q3,,S08000031,,G107H,,Elective Inpatients,,4,,292,596,2.04109589,,295,984,3.33559322,
2018Q4,,S08000031,,G107H,,Elective Inpatients,,4,,291,547,1.879725086,,295,922,3.125423729,
2019Q1,,S08000031,,G107H,,Elective Inpatients,,4,,296,520,1.756756757,,295,762,2.583050847,
2019Q2,,S08000031,,G107H,,Elective Inpatients,,4,,275,487,1.770909091,,275,896,3.258181818,
2019Q3,,S08000031,,G107H,,Elective Inpatients,,4,,294,693,2.357142857,,290,1103,3.803448276,
2019Q4,,S08000031,,G107H,,Elective Inpatients,,4,,319,592,1.855799373,,320,959,2.996875,
2020Q1,,S08000031,,G107H,,Elective Inpatients,,4,,232,457,1.969827586,,235,898,3.821276596,
2020Q2,,S08000031,,G107H,,Elective Inpatients,,4,,98,221,2.255102041,,95,345,3.631578947,
2020Q3,,S08000031,,G107H,,Elective Inpatients,,4,,222,477,2.148648649,,220,679,3.086363636,
2020Q4,,S08000031,,G107H,,Elective Inpatients,,4,,182,433,2.379120879,,185,713,3.854054054,
2021Q1,,S08000031,,G107H,,Elective Inpatients,,4,,141,435,3.085106383,,135,466,3.451851852,
2021Q2,,S08000031,,G107H,,Elective Inpatients,,4,,248,445,1.794354839,,250,772,3.088,
2021Q3,,S08000031,,G107H,,Elective Inpatients,,4,,197,340,1.725888325,,200,591,2.955,
2021Q4,,S08000031,,G107H,,Elective Inpatients,,4,,190,252,1.326315789,,190,657,3.457894737,
2022Q1,,S08000031,,G107H,,Elective Inpatients,,4,,158,213,1.348101266,,150,469,3.126666667,
2022Q2,,S08000031,,G107H,,Elective Inpatients,,4,,158,296,1.873417722,,160,591,3.69375,
2022Q3,,S08000031,,G107H,,Elective Inpatients,,4,,257,472,1.836575875,,255,954,3.741176471,
2022Q4,p,S08000031,,G107H,,Elective Inpatients,,4,,242,447,1.847107438,,250,1128,4.512,
2017Q4,,S08000031,,G107H,,Elective Inpatients,,5,,355,813,2.290140845,,360,1188,3.3,
2018Q1,,S08000031,,G107H,,Elective Inpatients,,5,,328,793,2.417682927,,335,1615,4.820895522,
2018Q2,,S08000031,,G107H,,Elective Inpatients,,5,,333,645,1.936936937,,335,1017,3.035820896,
2018Q3,,S08000031,,G107H,,Elective Inpatients,,5,,268,538,2.007462687,,270,785,2.907407407,
2018Q4,,S08000031,,G107H,,Elective Inpatients,,5,,290,627,2.162068966,,290,1207,4.162068966,
2019Q1,,S08000031,,G107H,,Elective Inpatients,,5,,307,655,2.133550489,,307,1163,3.788273616,
2019Q2,,S08000031,,G107H,,Elective Inpatients,,5,,287,589,2.052264808,,285,874,3.066666667,
2019Q3,,S08000031,,G107H,,Elective Inpatients,,5,,278,674,2.424460432,,285,1170,4.105263158,
2019Q4,,S08000031,,G107H,,Elective Inpatients,,5,,302,485,1.605960265,,300,782,2.606666667,
2020Q1,,S08000031,,G107H,,Elective Inpatients,,5,,292,472,1.616438356,,295,735,2.491525424,
2020Q2,,S08000031,,G107H,,Elective Inpatients,,5,,95,177,1.863157895,,95,247,2.6,
2020Q3,,S08000031,,G107H,,Elective Inpatients,,5,,205,416,2.029268293,,205,782,3.814634146,
2020Q4,,S08000031,,G107H,,Elective Inpatients,,5,,191,494,2.586387435,,195,774,3.969230769,
2021Q1,,S08000031,,G107H,,Elective Inpatients,,5,,153,432,2.823529412,,155,533,3.438709677,
2021Q2,,S08000031,,G107H,,Elective Inpatients,,5,,200,390,1.95,,190,650,3.421052632,
2021Q3,,S08000031,,G107H,,Elective Inpatients,,5,,193,347,1.797927461,,195,732,3.753846154,
2021Q4,,S08000031,,G107H,,Elective Inpatients,,5,,166,336,2.024096386,,170,622,3.658823529,
2022Q1,,S08000031,,G107H,,Elective Inpatients,,5,,160,226,1.4125,,155,502,3.238709677,
2022Q2,,S08000031,,G107H,,Elective Inpatients,,5,,178,313,1.758426966,,185,852,4.605405405,
2022Q3,,S08000031,,G107H,,Elective Inpatients,,5,,227,390,1.718061674,,228,695,3.048245614,
2022Q4,p,S08000031,,G107H,,Elective Inpatients,,5,,233,437,1.875536481,,235,797,3.391489362,
2017Q4,,S08000031,,G107H,,Elective Inpatients,,,:,5,5,1,,5,5,1,
2018Q1,,S08000031,,G107H,,Elective Inpatients,,,:,5,6,1.2,,5,7,1.4,
2018Q2,,S08000031,,G107H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
2018Q3,,S08000031,,G107H,,Elective Inpatients,,,:,5,33,6.6,,5,69,13.8,
2019Q1,,S08000031,,G107H,,Elective Inpatients,,,:,0,5,,z,0,5,,z
2019Q4,,S08000031,,G107H,,Elective Inpatients,,,:,0,25,,z,0,0,,z
2020Q1,,S08000031,,G107H,,Elective Inpatients,,,:,5,7,1.4,,5,54,10.8,
2020Q3,,S08000031,,G107H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
2021Q2,,S08000031,,G107H,,Elective Inpatients,,,:,5,13,2.6,,5,13,2.6,
2021Q4,,S08000031,,G107H,,Elective Inpatients,,,:,0,8,,z,0,8,,z
2022Q3,,S08000031,,G107H,,Elective Inpatients,,,:,0,7,,z,0,7,,z
2022Q4,p,S08000031,,G107H,,Elective Inpatients,,,:,0,5,,z,0,5,,z
2017Q4,,S08000031,,C313H,,Elective Inpatients,,1,,146,420,2.876712329,,145,462,3.186206897,
2018Q1,,S08000031,,C313H,,Elective Inpatients,,1,,126,267,2.119047619,,135,463,3.42962963,
2018Q2,,S08000031,,C313H,,Elective Inpatients,,1,,167,321,1.922155689,,175,592,3.382857143,
2018Q3,,S08000031,,C313H,,Elective Inpatients,,1,,155,306,1.974193548,,160,333,2.08125,
2018Q4,,S08000031,,C313H,,Elective Inpatients,,1,,138,323,2.34057971,,140,483,3.45,
2019Q1,,S08000031,,C313H,,Elective Inpatients,,1,,158,372,2.35443038,,165,421,2.551515152,
2019Q2,,S08000031,,C313H,,Elective Inpatients,,1,,135,278,2.059259259,,145,398,2.744827586,
2019Q3,,S08000031,,C313H,,Elective Inpatients,,1,,112,226,2.017857143,,120,448,3.733333333,
2019Q4,,S08000031,,C313H,,Elective Inpatients,,1,,124,532,4.290322581,,130,482,3.707692308,
2020Q1,,S08000031,,C313H,,Elective Inpatients,,1,,99,232,2.343434343,,107,656,6.130841121,
2020Q2,,S08000031,,C313H,,Elective Inpatients,,1,,5,5,1,,5,10,2,
2020Q3,,S08000031,,C313H,,Elective Inpatients,,1,,40,96,2.4,,45,121,2.688888889,
2020Q4,,S08000031,,C313H,,Elective Inpatients,,1,,80,177,2.2125,,85,248,2.917647059,
2021Q1,,S08000031,,C313H,,Elective Inpatients,,1,,71,181,2.549295775,,76,249,3.276315789,
2021Q2,,S08000031,,C313H,,Elective Inpatients,,1,,94,234,2.489361702,,95,316,3.326315789,
2021Q3,,S08000031,,C313H,,Elective Inpatients,,1,,73,143,1.95890411,,75,200,2.666666667,
2021Q4,,S08000031,,C313H,,Elective Inpatients,,1,,91,226,2.483516484,,100,340,3.4,
2022Q1,,S08000031,,C313H,,Elective Inpatients,,1,,52,100,1.923076923,,54,117,2.166666667,
2022Q2,,S08000031,,C313H,,Elective Inpatients,,1,,61,91,1.491803279,,70,185,2.642857143,
2022Q3,,S08000031,,C313H,,Elective Inpatients,,1,,127,368,2.897637795,,130,446,3.430769231,
2022Q4,p,S08000031,,C313H,,Elective Inpatients,,1,,114,330,2.894736842,,115,403,3.504347826,
2017Q4,,S08000031,,C313H,,Elective Inpatients,,2,,64,122,1.90625,,70,574,8.2,
2018Q1,,S08000031,,C313H,,Elective Inpatients,,2,,79,145,1.835443038,,80,185,2.3125,
2018Q2,,S08000031,,C313H,,Elective Inpatients,,2,,77,146,1.896103896,,80,247,3.0875,
2018Q3,,S08000031,,C313H,,Elective Inpatients,,2,,63,119,1.888888889,,65,129,1.984615385,
2018Q4,,S08000031,,C313H,,Elective Inpatients,,2,,73,165,2.260273973,,75,323,4.306666667,
2019Q1,,S08000031,,C313H,,Elective Inpatients,,2,,58,100,1.724137931,,60,137,2.283333333,
2019Q2,,S08000031,,C313H,,Elective Inpatients,,2,,51,131,2.568627451,,50,160,3.2,
2019Q3,,S08000031,,C313H,,Elective Inpatients,,2,,50,101,2.02,,53,136,2.566037736,
2019Q4,,S08000031,,C313H,,Elective Inpatients,,2,,55,89,1.618181818,,55,142,2.581818182,
2020Q1,,S08000031,,C313H,,Elective Inpatients,,2,,49,147,3,,49,219,4.469387755,
2020Q2,,S08000031,,C313H,,Elective Inpatients,,2,,5,7,1.4,,5,5,1,
2020Q3,,S08000031,,C313H,,Elective Inpatients,,2,,28,36,1.285714286,,29,84,2.896551724,
2020Q4,,S08000031,,C313H,,Elective Inpatients,,2,,36,52,1.444444444,,39,64,1.641025641,
2021Q1,,S08000031,,C313H,,Elective Inpatients,,2,,32,172,5.375,,32,231,7.21875,
2021Q2,,S08000031,,C313H,,Elective Inpatients,,2,,50,105,2.1,,51,108,2.117647059,
2021Q3,,S08000031,,C313H,,Elective Inpatients,,2,,43,94,2.186046512,,41,104,2.536585366,
2021Q4,,S08000031,,C313H,,Elective Inpatients,,2,,63,163,2.587301587,,67,285,4.253731343,
2022Q1,,S08000031,,C313H,,Elective Inpatients,,2,,44,84,1.909090909,,45,187,4.155555556,
2022Q2,,S08000031,,C313H,,Elective Inpatients,,2,,37,183,4.945945946,,37,206,5.567567568,
2022Q3,,S08000031,,C313H,,Elective Inpatients,,2,,61,290,4.754098361,,65,304,4.676923077,
2022Q4,p,S08000031,,C313H,,Elective Inpatients,,2,,79,171,2.164556962,,80,229,2.8625,
2017Q4,,S08000031,,C313H,,Elective Inpatients,,3,,106,336,3.169811321,,109,387,3.550458716,
2018Q1,,S08000031,,C313H,,Elective Inpatients,,3,,94,197,2.095744681,,95,238,2.505263158,
2018Q2,,S08000031,,C313H,,Elective Inpatients,,3,,111,337,3.036036036,,110,380,3.454545455,
2018Q3,,S08000031,,C313H,,Elective Inpatients,,3,,100,297,2.97,,100,386,3.86,
2018Q4,,S08000031,,C313H,,Elective Inpatients,,3,,113,302,2.672566372,,120,372,3.1,
2019Q1,,S08000031,,C313H,,Elective Inpatients,,3,,85,212,2.494117647,,87,313,3.597701149,
2019Q2,,S08000031,,C313H,,Elective Inpatients,,3,,88,263,2.988636364,,92,373,4.054347826,
2019Q3,,S08000031,,C313H,,Elective Inpatients,,3,,76,191,2.513157895,,80,303,3.7875,
2019Q4,,S08000031,,C313H,,Elective Inpatients,,3,,96,210,2.1875,,97,239,2.463917526,
2020Q1,,S08000031,,C313H,,Elective Inpatients,,3,,72,283,3.930555556,,75,307,4.093333333,
2020Q2,,S08000031,,C313H,,Elective Inpatients,,3,,5,44,8.8,,5,44,8.8,
2020Q3,,S08000031,,C313H,,Elective Inpatients,,3,,23,50,2.173913043,,24,85,3.541666667,
2020Q4,,S08000031,,C313H,,Elective Inpatients,,3,,67,152,2.268656716,,70,363,5.185714286,
2021Q1,,S08000031,,C313H,,Elective Inpatients,,3,,51,242,4.745098039,,50,274,5.48,
2021Q2,,S08000031,,C313H,,Elective Inpatients,,3,,68,204,3,,74,363,4.905405405,
2021Q3,,S08000031,,C313H,,Elective Inpatients,,3,,55,90,1.636363636,,55,98,1.781818182,
2021Q4,,S08000031,,C313H,,Elective Inpatients,,3,,67,148,2.208955224,,70,224,3.2,
2022Q1,,S08000031,,C313H,,Elective Inpatients,,3,,54,160,2.962962963,,55,232,4.218181818,
2022Q2,,S08000031,,C313H,,Elective Inpatients,,3,,57,169,2.964912281,,65,317,4.876923077,
2022Q3,,S08000031,,C313H,,Elective Inpatients,,3,,101,281,2.782178218,,100,326,3.26,
2022Q4,p,S08000031,,C313H,,Elective Inpatients,,3,,91,253,2.78021978,,95,325,3.421052632,
2017Q4,,S08000031,,C313H,,Elective Inpatients,,4,,59,130,2.203389831,,60,202,3.366666667,
2018Q1,,S08000031,,C313H,,Elective Inpatients,,4,,58,124,2.137931034,,58,145,2.5,
2018Q2,,S08000031,,C313H,,Elective Inpatients,,4,,64,109,1.703125,,65,154,2.369230769,
2018Q3,,S08000031,,C313H,,Elective Inpatients,,4,,45,118,2.622222222,,45,117,2.6,
2018Q4,,S08000031,,C313H,,Elective Inpatients,,4,,67,208,3.104477612,,70,257,3.671428571,
2019Q1,,S08000031,,C313H,,Elective Inpatients,,4,,50,99,1.98,,51,151,2.960784314,
2019Q2,,S08000031,,C313H,,Elective Inpatients,,4,,41,103,2.512195122,,42,108,2.571428571,
2019Q3,,S08000031,,C313H,,Elective Inpatients,,4,,42,105,2.5,,43,123,2.860465116,
2019Q4,,S08000031,,C313H,,Elective Inpatients,,4,,34,61,1.794117647,,35,86,2.457142857,
2020Q1,,S08000031,,C313H,,Elective Inpatients,,4,,38,70,1.842105263,,38,93,2.447368421,
2020Q2,,S08000031,,C313H,,Elective Inpatients,,4,,5,49,9.8,,5,50,10,
2020Q3,,S08000031,,C313H,,Elective Inpatients,,4,,10,19,1.9,,11,83,7.545454545,
2020Q4,,S08000031,,C313H,,Elective Inpatients,,4,,32,89,2.78125,,32,105,3.28125,
2021Q1,,S08000031,,C313H,,Elective Inpatients,,4,,31,111,3.580645161,,29,119,4.103448276,
2021Q2,,S08000031,,C313H,,Elective Inpatients,,4,,44,179,4.068181818,,44,180,4.090909091,
2021Q3,,S08000031,,C313H,,Elective Inpatients,,4,,34,259,7.617647059,,35,341,9.742857143,
2021Q4,,S08000031,,C313H,,Elective Inpatients,,4,,45,98,2.177777778,,46,257,5.586956522,
2022Q1,,S08000031,,C313H,,Elective Inpatients,,4,,31,119,3.838709677,,32,245,7.65625,
2022Q2,,S08000031,,C313H,,Elective Inpatients,,4,,26,58,2.230769231,,27,75,2.777777778,
2022Q3,,S08000031,,C313H,,Elective Inpatients,,4,,57,143,2.50877193,,55,167,3.036363636,
2022Q4,p,S08000031,,C313H,,Elective Inpatients,,4,,61,161,2.639344262,,64,233,3.640625,
2017Q4,,S08000031,,C313H,,Elective Inpatients,,5,,76,201,2.644736842,,80,295,3.6875,
