_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
1737,2022Q2,,S08000031,,G107H,,Elective Inpatients,,2,,211,513,2.431279621,,205,731,3.565853659,
1738,2022Q3,,S08000031,,G107H,,Elective Inpatients,,2,,286,661,2.311188811,,285,1354,4.750877193,
1739,2022Q4,p,S08000031,,G107H,,Elective Inpatients,,2,,307,705,2.296416938,,310,1257,4.05483871,
1740,2017Q4,,S08000031,,G107H,,Elective Inpatients,,3,,366,742,2.027322404,,370,1346,3.637837838,
1741,2018Q1,,S08000031,,G107H,,Elective Inpatients,,3,,288,782,2.715277778,,290,1201,4.14137931,
1742,2018Q2,,S08000031,,G107H,,Elective Inpatients,,3,,354,707,1.997175141,,345,1005,2.913043478,
1743,2018Q3,,S08000031,,G107H,,Elective Inpatients,,3,,296,562,1.898648649,,300,1066,3.553333333,
1744,2018Q4,,S08000031,,G107H,,Elective Inpatients,,3,,298,719,2.412751678,,305,995,3.262295082,
1745,2019Q1,,S08000031,,G107H,,Elective Inpatients,,3,,314,629,2.003184713,,310,1104,3.561290323,
1746,2019Q2,,S08000031,,G107H,,Elective Inpatients,,3,,312,656,2.102564103,,315,1216,3.86031746,
1747,2019Q3,,S08000031,,G107H,,Elective Inpatients,,3,,313,514,1.642172524,,310,1026,3.309677419,
1748,2019Q4,,S08000031,,G107H,,Elective Inpatients,,3,,290,748,2.579310345,,290,1091,3.762068966,
1749,2020Q1,,S08000031,,G107H,,Elective Inpatients,,3,,291,783,2.690721649,,290,1162,4.006896552,
1750,2020Q2,,S08000031,,G107H,,Elective Inpatients,,3,,115,203,1.765217391,,115,410,3.565217391,
1751,2020Q3,,S08000031,,G107H,,Elective Inpatients,,3,,229,489,2.135371179,,226,729,3.225663717,
1752,2020Q4,,S08000031,,G107H,,Elective Inpatients,,3,,193,548,2.839378238,,200,926,4.63,
1753,2021Q1,,S08000031,,G107H,,Elective Inpatients,,3,,146,431,2.952054795,,145,563,3.882758621,
1754,2021Q2,,S08000031,,G107H,,Elective Inpatients,,3,,215,447,2.079069767,,210,713,3.395238095,
1755,2021Q3,,S08000031,,G107H,,Elective Inpatients,,3,,206,505,2.451456311,,205,898,4.380487805,
1756,2021Q4,,S08000031,,G107H,,Elective Inpatients,,3,,181,365,2.016574586,,185,822,4.443243243,
1757,2022Q1,,S08000031,,G107H,,Elective Inpatients,,3,,144,300,2.083333333,,145,651,4.489655172,
1758,2022Q2,,S08000031,,G107H,,Elective Inpatients,,3,,156,320,2.051282051,,155,487,3.141935484,
1759,2022Q3,,S08000031,,G107H,,Elective Inpatients,,3,,238,550,2.31092437,,230,886,3.852173913,
1760,2022Q4,p,S08000031,,G107H,,Elective Inpatients,,3,,234,458,1.957264957,,240,784,3.266666667,
1761,2017Q4,,S08000031,,G107H,,Elective Inpatients,,4,,323,736,2.278637771,,330,1214,3.678787879,
1762,2018Q1,,S08000031,,G107H,,Elective Inpatients,,4,,304,668,2.197368421,,295,1219,4.13220339,
1763,2018Q2,,S08000031,,G107H,,Elective Inpatients,,4,,303,683,2.254125413,,305,1158,3.796721311,
1764,2018Q3,,S08000031,,G107H,,Elective Inpatients,,4,,292,596,2.04109589,,295,984,3.33559322,
1765,2018Q4,,S08000031,,G107H,,Elective Inpatients,,4,,291,547,1.879725086,,295,922,3.125423729,
1766,2019Q1,,S08000031,,G107H,,Elective Inpatients,,4,,296,520,1.756756757,,295,762,2.583050847,
1767,2019Q2,,S08000031,,G107H,,Elective Inpatients,,4,,275,487,1.770909091,,275,896,3.258181818,
1768,2019Q3,,S08000031,,G107H,,Elective Inpatients,,4,,294,693,2.357142857,,290,1103,3.803448276,
1769,2019Q4,,S08000031,,G107H,,Elective Inpatients,,4,,319,592,1.855799373,,320,959,2.996875,
1770,2020Q1,,S08000031,,G107H,,Elective Inpatients,,4,,232,457,1.969827586,,235,898,3.821276596,
1771,2020Q2,,S08000031,,G107H,,Elective Inpatients,,4,,98,221,2.255102041,,95,345,3.631578947,
1772,2020Q3,,S08000031,,G107H,,Elective Inpatients,,4,,222,477,2.148648649,,220,679,3.086363636,
1773,2020Q4,,S08000031,,G107H,,Elective Inpatients,,4,,182,433,2.379120879,,185,713,3.854054054,
1774,2021Q1,,S08000031,,G107H,,Elective Inpatients,,4,,141,435,3.085106383,,135,466,3.451851852,
1775,2021Q2,,S08000031,,G107H,,Elective Inpatients,,4,,248,445,1.794354839,,250,772,3.088,
1776,2021Q3,,S08000031,,G107H,,Elective Inpatients,,4,,197,340,1.725888325,,200,591,2.955,
1777,2021Q4,,S08000031,,G107H,,Elective Inpatients,,4,,190,252,1.326315789,,190,657,3.457894737,
1778,2022Q1,,S08000031,,G107H,,Elective Inpatients,,4,,158,213,1.348101266,,150,469,3.126666667,
1779,2022Q2,,S08000031,,G107H,,Elective Inpatients,,4,,158,296,1.873417722,,160,591,3.69375,
1780,2022Q3,,S08000031,,G107H,,Elective Inpatients,,4,,257,472,1.836575875,,255,954,3.741176471,
1781,2022Q4,p,S08000031,,G107H,,Elective Inpatients,,4,,242,447,1.847107438,,250,1128,4.512,
1782,2017Q4,,S08000031,,G107H,,Elective Inpatients,,5,,355,813,2.290140845,,360,1188,3.3,
1783,2018Q1,,S08000031,,G107H,,Elective Inpatients,,5,,328,793,2.417682927,,335,1615,4.820895522,
1784,2018Q2,,S08000031,,G107H,,Elective Inpatients,,5,,333,645,1.936936937,,335,1017,3.035820896,
1785,2018Q3,,S08000031,,G107H,,Elective Inpatients,,5,,268,538,2.007462687,,270,785,2.907407407,
1786,2018Q4,,S08000031,,G107H,,Elective Inpatients,,5,,290,627,2.162068966,,290,1207,4.162068966,
1787,2019Q1,,S08000031,,G107H,,Elective Inpatients,,5,,307,655,2.133550489,,307,1163,3.788273616,
1788,2019Q2,,S08000031,,G107H,,Elective Inpatients,,5,,287,589,2.052264808,,285,874,3.066666667,
1789,2019Q3,,S08000031,,G107H,,Elective Inpatients,,5,,278,674,2.424460432,,285,1170,4.105263158,
1790,2019Q4,,S08000031,,G107H,,Elective Inpatients,,5,,302,485,1.605960265,,300,782,2.606666667,
1791,2020Q1,,S08000031,,G107H,,Elective Inpatients,,5,,292,472,1.616438356,,295,735,2.491525424,
1792,2020Q2,,S08000031,,G107H,,Elective Inpatients,,5,,95,177,1.863157895,,95,247,2.6,
1793,2020Q3,,S08000031,,G107H,,Elective Inpatients,,5,,205,416,2.029268293,,205,782,3.814634146,
1794,2020Q4,,S08000031,,G107H,,Elective Inpatients,,5,,191,494,2.586387435,,195,774,3.969230769,
1795,2021Q1,,S08000031,,G107H,,Elective Inpatients,,5,,153,432,2.823529412,,155,533,3.438709677,
1796,2021Q2,,S08000031,,G107H,,Elective Inpatients,,5,,200,390,1.95,,190,650,3.421052632,
1797,2021Q3,,S08000031,,G107H,,Elective Inpatients,,5,,193,347,1.797927461,,195,732,3.753846154,
1798,2021Q4,,S08000031,,G107H,,Elective Inpatients,,5,,166,336,2.024096386,,170,622,3.658823529,
1799,2022Q1,,S08000031,,G107H,,Elective Inpatients,,5,,160,226,1.4125,,155,502,3.238709677,
1800,2022Q2,,S08000031,,G107H,,Elective Inpatients,,5,,178,313,1.758426966,,185,852,4.605405405,
1801,2022Q3,,S08000031,,G107H,,Elective Inpatients,,5,,227,390,1.718061674,,228,695,3.048245614,
1802,2022Q4,p,S08000031,,G107H,,Elective Inpatients,,5,,233,437,1.875536481,,235,797,3.391489362,
1803,2017Q4,,S08000031,,G107H,,Elective Inpatients,,,:,5,5,1,,5,5,1,
1804,2018Q1,,S08000031,,G107H,,Elective Inpatients,,,:,5,6,1.2,,5,7,1.4,
1805,2018Q2,,S08000031,,G107H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
1806,2018Q3,,S08000031,,G107H,,Elective Inpatients,,,:,5,33,6.6,,5,69,13.8,
1807,2019Q1,,S08000031,,G107H,,Elective Inpatients,,,:,0,5,,z,0,5,,z
1808,2019Q4,,S08000031,,G107H,,Elective Inpatients,,,:,0,25,,z,0,0,,z
1809,2020Q1,,S08000031,,G107H,,Elective Inpatients,,,:,5,7,1.4,,5,54,10.8,
1810,2020Q3,,S08000031,,G107H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
1811,2021Q2,,S08000031,,G107H,,Elective Inpatients,,,:,5,13,2.6,,5,13,2.6,
1812,2021Q4,,S08000031,,G107H,,Elective Inpatients,,,:,0,8,,z,0,8,,z
1813,2022Q3,,S08000031,,G107H,,Elective Inpatients,,,:,0,7,,z,0,7,,z
1814,2022Q4,p,S08000031,,G107H,,Elective Inpatients,,,:,0,5,,z,0,5,,z
1815,2017Q4,,S08000031,,C313H,,Elective Inpatients,,1,,146,420,2.876712329,,145,462,3.186206897,
1816,2018Q1,,S08000031,,C313H,,Elective Inpatients,,1,,126,267,2.119047619,,135,463,3.42962963,
1817,2018Q2,,S08000031,,C313H,,Elective Inpatients,,1,,167,321,1.922155689,,175,592,3.382857143,
1818,2018Q3,,S08000031,,C313H,,Elective Inpatients,,1,,155,306,1.974193548,,160,333,2.08125,
1819,2018Q4,,S08000031,,C313H,,Elective Inpatients,,1,,138,323,2.34057971,,140,483,3.45,
1820,2019Q1,,S08000031,,C313H,,Elective Inpatients,,1,,158,372,2.35443038,,165,421,2.551515152,
1821,2019Q2,,S08000031,,C313H,,Elective Inpatients,,1,,135,278,2.059259259,,145,398,2.744827586,
1822,2019Q3,,S08000031,,C313H,,Elective Inpatients,,1,,112,226,2.017857143,,120,448,3.733333333,
1823,2019Q4,,S08000031,,C313H,,Elective Inpatients,,1,,124,532,4.290322581,,130,482,3.707692308,
1824,2020Q1,,S08000031,,C313H,,Elective Inpatients,,1,,99,232,2.343434343,,107,656,6.130841121,
1825,2020Q2,,S08000031,,C313H,,Elective Inpatients,,1,,5,5,1,,5,10,2,
1826,2020Q3,,S08000031,,C313H,,Elective Inpatients,,1,,40,96,2.4,,45,121,2.688888889,
1827,2020Q4,,S08000031,,C313H,,Elective Inpatients,,1,,80,177,2.2125,,85,248,2.917647059,
1828,2021Q1,,S08000031,,C313H,,Elective Inpatients,,1,,71,181,2.549295775,,76,249,3.276315789,
1829,2021Q2,,S08000031,,C313H,,Elective Inpatients,,1,,94,234,2.489361702,,95,316,3.326315789,
1830,2021Q3,,S08000031,,C313H,,Elective Inpatients,,1,,73,143,1.95890411,,75,200,2.666666667,
1831,2021Q4,,S08000031,,C313H,,Elective Inpatients,,1,,91,226,2.483516484,,100,340,3.4,
1832,2022Q1,,S08000031,,C313H,,Elective Inpatients,,1,,52,100,1.923076923,,54,117,2.166666667,
1833,2022Q2,,S08000031,,C313H,,Elective Inpatients,,1,,61,91,1.491803279,,70,185,2.642857143,
1834,2022Q3,,S08000031,,C313H,,Elective Inpatients,,1,,127,368,2.897637795,,130,446,3.430769231,
1835,2022Q4,p,S08000031,,C313H,,Elective Inpatients,,1,,114,330,2.894736842,,115,403,3.504347826,
1836,2017Q4,,S08000031,,C313H,,Elective Inpatients,,2,,64,122,1.90625,,70,574,8.2,
1837,2018Q1,,S08000031,,C313H,,Elective Inpatients,,2,,79,145,1.835443038,,80,185,2.3125,
1838,2018Q2,,S08000031,,C313H,,Elective Inpatients,,2,,77,146,1.896103896,,80,247,3.0875,
1839,2018Q3,,S08000031,,C313H,,Elective Inpatients,,2,,63,119,1.888888889,,65,129,1.984615385,
1840,2018Q4,,S08000031,,C313H,,Elective Inpatients,,2,,73,165,2.260273973,,75,323,4.306666667,
1841,2019Q1,,S08000031,,C313H,,Elective Inpatients,,2,,58,100,1.724137931,,60,137,2.283333333,
1842,2019Q2,,S08000031,,C313H,,Elective Inpatients,,2,,51,131,2.568627451,,50,160,3.2,
1843,2019Q3,,S08000031,,C313H,,Elective Inpatients,,2,,50,101,2.02,,53,136,2.566037736,
1844,2019Q4,,S08000031,,C313H,,Elective Inpatients,,2,,55,89,1.618181818,,55,142,2.581818182,
1845,2020Q1,,S08000031,,C313H,,Elective Inpatients,,2,,49,147,3,,49,219,4.469387755,
1846,2020Q2,,S08000031,,C313H,,Elective Inpatients,,2,,5,7,1.4,,5,5,1,
1847,2020Q3,,S08000031,,C313H,,Elective Inpatients,,2,,28,36,1.285714286,,29,84,2.896551724,
1848,2020Q4,,S08000031,,C313H,,Elective Inpatients,,2,,36,52,1.444444444,,39,64,1.641025641,
1849,2021Q1,,S08000031,,C313H,,Elective Inpatients,,2,,32,172,5.375,,32,231,7.21875,
1850,2021Q2,,S08000031,,C313H,,Elective Inpatients,,2,,50,105,2.1,,51,108,2.117647059,
1851,2021Q3,,S08000031,,C313H,,Elective Inpatients,,2,,43,94,2.186046512,,41,104,2.536585366,
1852,2021Q4,,S08000031,,C313H,,Elective Inpatients,,2,,63,163,2.587301587,,67,285,4.253731343,
1853,2022Q1,,S08000031,,C313H,,Elective Inpatients,,2,,44,84,1.909090909,,45,187,4.155555556,
1854,2022Q2,,S08000031,,C313H,,Elective Inpatients,,2,,37,183,4.945945946,,37,206,5.567567568,
1855,2022Q3,,S08000031,,C313H,,Elective Inpatients,,2,,61,290,4.754098361,,65,304,4.676923077,
1856,2022Q4,p,S08000031,,C313H,,Elective Inpatients,,2,,79,171,2.164556962,,80,229,2.8625,
1857,2017Q4,,S08000031,,C313H,,Elective Inpatients,,3,,106,336,3.169811321,,109,387,3.550458716,
1858,2018Q1,,S08000031,,C313H,,Elective Inpatients,,3,,94,197,2.095744681,,95,238,2.505263158,
1859,2018Q2,,S08000031,,C313H,,Elective Inpatients,,3,,111,337,3.036036036,,110,380,3.454545455,
1860,2018Q3,,S08000031,,C313H,,Elective Inpatients,,3,,100,297,2.97,,100,386,3.86,
1861,2018Q4,,S08000031,,C313H,,Elective Inpatients,,3,,113,302,2.672566372,,120,372,3.1,
1862,2019Q1,,S08000031,,C313H,,Elective Inpatients,,3,,85,212,2.494117647,,87,313,3.597701149,
1863,2019Q2,,S08000031,,C313H,,Elective Inpatients,,3,,88,263,2.988636364,,92,373,4.054347826,
1864,2019Q3,,S08000031,,C313H,,Elective Inpatients,,3,,76,191,2.513157895,,80,303,3.7875,
1865,2019Q4,,S08000031,,C313H,,Elective Inpatients,,3,,96,210,2.1875,,97,239,2.463917526,
1866,2020Q1,,S08000031,,C313H,,Elective Inpatients,,3,,72,283,3.930555556,,75,307,4.093333333,
1867,2020Q2,,S08000031,,C313H,,Elective Inpatients,,3,,5,44,8.8,,5,44,8.8,
1868,2020Q3,,S08000031,,C313H,,Elective Inpatients,,3,,23,50,2.173913043,,24,85,3.541666667,
1869,2020Q4,,S08000031,,C313H,,Elective Inpatients,,3,,67,152,2.268656716,,70,363,5.185714286,
1870,2021Q1,,S08000031,,C313H,,Elective Inpatients,,3,,51,242,4.745098039,,50,274,5.48,
1871,2021Q2,,S08000031,,C313H,,Elective Inpatients,,3,,68,204,3,,74,363,4.905405405,
1872,2021Q3,,S08000031,,C313H,,Elective Inpatients,,3,,55,90,1.636363636,,55,98,1.781818182,
1873,2021Q4,,S08000031,,C313H,,Elective Inpatients,,3,,67,148,2.208955224,,70,224,3.2,
1874,2022Q1,,S08000031,,C313H,,Elective Inpatients,,3,,54,160,2.962962963,,55,232,4.218181818,
1875,2022Q2,,S08000031,,C313H,,Elective Inpatients,,3,,57,169,2.964912281,,65,317,4.876923077,
1876,2022Q3,,S08000031,,C313H,,Elective Inpatients,,3,,101,281,2.782178218,,100,326,3.26,
1877,2022Q4,p,S08000031,,C313H,,Elective Inpatients,,3,,91,253,2.78021978,,95,325,3.421052632,
1878,2017Q4,,S08000031,,C313H,,Elective Inpatients,,4,,59,130,2.203389831,,60,202,3.366666667,
1879,2018Q1,,S08000031,,C313H,,Elective Inpatients,,4,,58,124,2.137931034,,58,145,2.5,
1880,2018Q2,,S08000031,,C313H,,Elective Inpatients,,4,,64,109,1.703125,,65,154,2.369230769,
1881,2018Q3,,S08000031,,C313H,,Elective Inpatients,,4,,45,118,2.622222222,,45,117,2.6,
1882,2018Q4,,S08000031,,C313H,,Elective Inpatients,,4,,67,208,3.104477612,,70,257,3.671428571,
1883,2019Q1,,S08000031,,C313H,,Elective Inpatients,,4,,50,99,1.98,,51,151,2.960784314,
1884,2019Q2,,S08000031,,C313H,,Elective Inpatients,,4,,41,103,2.512195122,,42,108,2.571428571,
1885,2019Q3,,S08000031,,C313H,,Elective Inpatients,,4,,42,105,2.5,,43,123,2.860465116,
1886,2019Q4,,S08000031,,C313H,,Elective Inpatients,,4,,34,61,1.794117647,,35,86,2.457142857,
1887,2020Q1,,S08000031,,C313H,,Elective Inpatients,,4,,38,70,1.842105263,,38,93,2.447368421,
1888,2020Q2,,S08000031,,C313H,,Elective Inpatients,,4,,5,49,9.8,,5,50,10,
1889,2020Q3,,S08000031,,C313H,,Elective Inpatients,,4,,10,19,1.9,,11,83,7.545454545,
1890,2020Q4,,S08000031,,C313H,,Elective Inpatients,,4,,32,89,2.78125,,32,105,3.28125,
1891,2021Q1,,S08000031,,C313H,,Elective Inpatients,,4,,31,111,3.580645161,,29,119,4.103448276,
1892,2021Q2,,S08000031,,C313H,,Elective Inpatients,,4,,44,179,4.068181818,,44,180,4.090909091,
1893,2021Q3,,S08000031,,C313H,,Elective Inpatients,,4,,34,259,7.617647059,,35,341,9.742857143,
1894,2021Q4,,S08000031,,C313H,,Elective Inpatients,,4,,45,98,2.177777778,,46,257,5.586956522,
1895,2022Q1,,S08000031,,C313H,,Elective Inpatients,,4,,31,119,3.838709677,,32,245,7.65625,
1896,2022Q2,,S08000031,,C313H,,Elective Inpatients,,4,,26,58,2.230769231,,27,75,2.777777778,
1897,2022Q3,,S08000031,,C313H,,Elective Inpatients,,4,,57,143,2.50877193,,55,167,3.036363636,
1898,2022Q4,p,S08000031,,C313H,,Elective Inpatients,,4,,61,161,2.639344262,,64,233,3.640625,
1899,2017Q4,,S08000031,,C313H,,Elective Inpatients,,5,,76,201,2.644736842,,80,295,3.6875,
1900,2018Q1,,S08000031,,C313H,,Elective Inpatients,,5,,72,119,1.652777778,,75,184,2.453333333,
1901,2018Q2,,S08000031,,C313H,,Elective Inpatients,,5,,66,142,2.151515152,,66,151,2.287878788,
1902,2018Q3,,S08000031,,C313H,,Elective Inpatients,,5,,54,127,2.351851852,,55,287,5.218181818,
1903,2018Q4,,S08000031,,C313H,,Elective Inpatients,,5,,64,225,3.515625,,67,262,3.910447761,
1904,2019Q1,,S08000031,,C313H,,Elective Inpatients,,5,,74,181,2.445945946,,76,244,3.210526316,
1905,2019Q2,,S08000031,,C313H,,Elective Inpatients,,5,,57,109,1.912280702,,58,126,2.172413793,
1906,2019Q3,,S08000031,,C313H,,Elective Inpatients,,5,,54,200,3.703703704,,55,285,5.181818182,
1907,2019Q4,,S08000031,,C313H,,Elective Inpatients,,5,,53,161,3.037735849,,55,214,3.890909091,
1908,2020Q1,,S08000031,,C313H,,Elective Inpatients,,5,,30,68,2.266666667,,29,112,3.862068966,
1909,2020Q2,,S08000031,,C313H,,Elective Inpatients,,5,,5,10,2,,5,6,1.2,
1910,2020Q3,,S08000031,,C313H,,Elective Inpatients,,5,,19,47,2.473684211,,18,78,4.333333333,
1911,2020Q4,,S08000031,,C313H,,Elective Inpatients,,5,,47,77,1.638297872,,50,113,2.26,
1912,2021Q1,,S08000031,,C313H,,Elective Inpatients,,5,,34,76,2.235294118,,35,104,2.971428571,
1913,2021Q2,,S08000031,,C313H,,Elective Inpatients,,5,,36,84,2.333333333,,38,110,2.894736842,
1914,2021Q3,,S08000031,,C313H,,Elective Inpatients,,5,,36,107,2.972222222,,35,172,4.914285714,
1915,2021Q4,,S08000031,,C313H,,Elective Inpatients,,5,,44,107,2.431818182,,47,135,2.872340426,
1916,2022Q1,,S08000031,,C313H,,Elective Inpatients,,5,,32,74,2.3125,,32,116,3.625,
1917,2022Q2,,S08000031,,C313H,,Elective Inpatients,,5,,39,95,2.435897436,,37,101,2.72972973,
1918,2022Q3,,S08000031,,C313H,,Elective Inpatients,,5,,48,117,2.4375,,50,208,4.16,
1919,2022Q4,p,S08000031,,C313H,,Elective Inpatients,,5,,47,201,4.276595745,,50,227,4.54,
1920,2018Q1,,S08000031,,C313H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
1921,2018Q3,,S08000031,,C313H,,Elective Inpatients,,,:,0,5,,z,0,5,,z
1922,2018Q4,,S08000031,,C313H,,Elective Inpatients,,,:,0,5,,z,0,5,,z
1923,2021Q4,,S08000031,,C313H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
1924,2022Q3,,S08000031,,C313H,,Elective Inpatients,,,:,0,0,,z,0,0,,z
1925,2017Q4,,S08000031,,S08000031,d,Elective Inpatients,,1,,3510,9276,2.642735043,,3554,13056,3.673607203,
1926,2018Q1,,S08000031,,S08000031,d,Elective Inpatients,,1,,3423,8375,2.446684195,,3436,13443,3.912398137,
1927,2018Q2,,S08000031,,S08000031,d,Elective Inpatients,,1,,3637,8863,2.436898543,,3670,13772,3.752588556,
1928,2018Q3,,S08000031,,S08000031,d,Elective Inpatients,,1,,3401,8663,2.547192002,,3409,11337,3.325608683,
1929,2018Q4,,S08000031,,S08000031,d,Elective Inpatients,,1,,3061,7587,2.478601764,,3092,10841,3.50614489,
1930,2019Q1,,S08000031,,S08000031,d,Elective Inpatients,,1,,3256,8121,2.494164619,,3278,11299,3.446918853,
1931,2019Q2,,S08000031,,S08000031,d,Elective Inpatients,,1,,3334,8289,2.486202759,,3362,11388,3.387269482,
1932,2019Q3,,S08000031,,S08000031,d,Elective Inpatients,,1,,3210,7633,2.37788162,,3238,10837,3.346819024,
1933,2019Q4,,S08000031,,S08000031,d,Elective Inpatients,,1,,3387,7972,2.353705344,,3427,10981,3.204260286,
1934,2020Q1,,S08000031,,S08000031,d,Elective Inpatients,,1,,3127,7161,2.290054365,,3151,10098,3.204696922,
1935,2020Q2,,S08000031,,S08000031,d,Elective Inpatients,,1,,1191,3345,2.808564232,,1196,4844,4.050167224,
1936,2020Q3,,S08000031,,S08000031,d,Elective Inpatients,,1,,2088,5119,2.451628352,,2088,7189,3.443007663,
1937,2020Q4,,S08000031,,S08000031,d,Elective Inpatients,,1,,2476,5755,2.324313409,,2501,8294,3.316273491,
1938,2021Q1,,S08000031,,S08000031,d,Elective Inpatients,,1,,2096,4951,2.362118321,,2096,6930,3.30629771,
1939,2021Q2,,S08000031,,S08000031,d,Elective Inpatients,,1,,2455,5766,2.348676171,,2479,8403,3.389673255,
1940,2021Q3,,S08000031,,S08000031,d,Elective Inpatients,,1,,2217,5653,2.549842129,,2239,8337,3.723537293,
1941,2021Q4,,S08000031,,S08000031,d,Elective Inpatients,,1,,2141,4945,2.309668379,,2170,7384,3.402764977,
1942,2022Q1,,S08000031,,S08000031,d,Elective Inpatients,,1,,2097,4759,2.269432523,,2097,6688,3.189318073,
1943,2022Q2,,S08000031,,S08000031,d,Elective Inpatients,,1,,2026,5045,2.490128332,,2040,7570,3.710784314,
1944,2022Q3,,S08000031,,S08000031,d,Elective Inpatients,,1,,2473,5651,2.285078852,,2483,8022,3.230769231,
1945,2022Q4,p,S08000031,,S08000031,d,Elective Inpatients,,1,,2412,5541,2.297263682,,2430,8410,3.46090535,
1946,2017Q4,,S08000031,,S08000031,d,Elective Inpatients,,2,,2284,5842,2.557793345,,2309,9122,3.950627977,
1947,2018Q1,,S08000031,,S08000031,d,Elective Inpatients,,2,,2064,5475,2.652616279,,2061,7407,3.593886463,
1948,2018Q2,,S08000031,,S08000031,d,Elective Inpatients,,2,,2229,5909,2.650964558,,2246,8684,3.866429207,
1949,2018Q3,,S08000031,,S08000031,d,Elective Inpatients,,2,,2126,5377,2.529162747,,2142,7186,3.35480859,
1950,2018Q4,,S08000031,,S08000031,d,Elective Inpatients,,2,,2032,5649,2.780019685,,2053,8120,3.95518753,
1951,2019Q1,,S08000031,,S08000031,d,Elective Inpatients,,2,,2098,4974,2.370829361,,2101,7195,3.424559733,
1952,2019Q2,,S08000031,,S08000031,d,Elective Inpatients,,2,,2109,5284,2.505452821,,2121,7123,3.358321546,
1953,2019Q3,,S08000031,,S08000031,d,Elective Inpatients,,2,,1972,4911,2.490365112,,1972,7223,3.662778905,
1954,2019Q4,,S08000031,,S08000031,d,Elective Inpatients,,2,,2000,5264,2.632,,2028,7501,3.698717949,
1955,2020Q1,,S08000031,,S08000031,d,Elective Inpatients,,2,,1905,4550,2.388451444,,1924,6719,3.492203742,
1956,2020Q2,,S08000031,,S08000031,d,Elective Inpatients,,2,,695,1680,2.417266187,,679,2325,3.424153166,
1957,2020Q3,,S08000031,,S08000031,d,Elective Inpatients,,2,,1319,3188,2.416982563,,1325,4660,3.516981132,
1958,2020Q4,,S08000031,,S08000031,d,Elective Inpatients,,2,,1521,3441,2.262327416,,1546,4882,3.157826649,
1959,2021Q1,,S08000031,,S08000031,d,Elective Inpatients,,2,,1254,3520,2.807017544,,1250,4387,3.5096,
1960,2021Q2,,S08000031,,S08000031,d,Elective Inpatients,,2,,1715,4554,2.655393586,,1720,5975,3.473837209,
1961,2021Q3,,S08000031,,S08000031,d,Elective Inpatients,,2,,1523,3956,2.597504924,,1516,5255,3.466358839,
1962,2021Q4,,S08000031,,S08000031,d,Elective Inpatients,,2,,1284,3286,2.559190031,,1307,4795,3.668706963,
1963,2022Q1,,S08000031,,S08000031,d,Elective Inpatients,,2,,1304,3386,2.596625767,,1282,4722,3.683307332,
1964,2022Q2,,S08000031,,S08000031,d,Elective Inpatients,,2,,1276,3159,2.475705329,,1286,4990,3.880248834,
1965,2022Q3,,S08000031,,S08000031,d,Elective Inpatients,,2,,1539,3935,2.556855101,,1545,6564,4.248543689,
1966,2022Q4,p,S08000031,,S08000031,d,Elective Inpatients,,2,,1477,3799,2.572105619,,1502,5872,3.909454061,
1967,2017Q4,,S08000031,,S08000031,d,Elective Inpatients,,3,,1866,5787,3.101286174,,1880,7690,4.090425532,
1968,2018Q1,,S08000031,,S08000031,d,Elective Inpatients,,3,,1727,4447,2.574985524,,1745,6550,3.753581662,
1969,2018Q2,,S08000031,,S08000031,d,Elective Inpatients,,3,,1843,4858,2.635919696,,1825,5867,3.214794521,
1970,2018Q3,,S08000031,,S08000031,d,Elective Inpatients,,3,,1776,4863,2.738175676,,1790,6664,3.722905028,
1971,2018Q4,,S08000031,,S08000031,d,Elective Inpatients,,3,,1731,4677,2.701906412,,1753,6325,3.608100399,
1972,2019Q1,,S08000031,,S08000031,d,Elective Inpatients,,3,,1757,5529,3.146841207,,1753,6732,3.840273816,
1973,2019Q2,,S08000031,,S08000031,d,Elective Inpatients,,3,,1635,4701,2.875229358,,1640,6993,4.26402439,
1974,2019Q3,,S08000031,,S08000031,d,Elective Inpatients,,3,,1722,4608,2.675958188,,1720,5997,3.486627907,
1975,2019Q4,,S08000031,,S08000031,d,Elective Inpatients,,3,,1674,4657,2.781959379,,1678,6298,3.753277712,
1976,2020Q1,,S08000031,,S08000031,d,Elective Inpatients,,3,,1618,4455,2.753399258,,1622,6275,3.868680641,
1977,2020Q2,,S08000031,,S08000031,d,Elective Inpatients,,3,,541,1802,3.330868762,,536,2597,4.845149254,
1978,2020Q3,,S08000031,,S08000031,d,Elective Inpatients,,3,,1073,2653,2.47250699,,1059,3567,3.368271955,
1979,2020Q4,,S08000031,,S08000031,d,Elective Inpatients,,3,,1233,3193,2.589618816,,1254,4694,3.743221691,
1980,2021Q1,,S08000031,,S08000031,d,Elective Inpatients,,3,,1020,2811,2.755882353,,1026,3680,3.586744639,
1981,2021Q2,,S08000031,,S08000031,d,Elective Inpatients,,3,,1372,3384,2.466472303,,1376,4566,3.318313953,
